Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 22344681 "," 16511662 "," 15918741 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -19136664 "," -13766694 "," -13031876 "
3.02.01," Energia Elétrica Comprada para Revenda "," -11446699 "," -8160921 "," -7516878 "
3.02.02," Encargos de Uso da Rede Básica de Transmissão "," -3405996 "," -1799091 "," -1458939 "
3.02.03," Pessoal e Administradores "," -644268 "," -683963 "," -674042 "
3.02.04," Materiais "," -47864 "," -45867 "," -51067 "
3.02.05," Serviços de Terceiros "," -1091225 "," -939471 "," -901917 "
3.02.06," Amortização "," -592053 "," -563136 "," -532842 "
3.02.07," Provisões Operacionais "," -47326 "," -137011 "," -894736 "
3.02.09," Custo de Construção de Infraestrutura de Distribuição "," -1802361 "," -1384334 "," -936332 "
3.02.10," Outras "," -58872 "," -52900 "," -65123 "
3.03," Resultado Bruto "," 3208017 "," 2744968 "," 2886865 "
3.04," Despesas/Receitas Operacionais "," -845081 "," -1122069 "," -1339081 "
3.04.01," Despesas com Vendas "," -130175 "," -135265 "," -199142 "
3.04.02," Despesas Gerais e Administrativas "," -434976 "," -430193 "," -447411 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -279930 "," -556611 "," -692528 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 2362936 "," 1622899 "," 1547784 "
3.06," Resultado Financeiro "," -7532 "," 8968 "," 902389 "
3.06.01," Receitas Financeiras "," 657355 "," 520191 "," 1534795 "
3.06.02," Despesas Financeiras "," -664887 "," -511223 "," -632406 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 2355404 "," 1631867 "," 2450173 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -654863 "," -430313 "," -805807 "
3.08.01," Corrente "," -632400 "," -430401 "," -843008 "
3.08.02," Diferido "," -22463 "," 88 "," 37201 "
3.09," Resultado Líquido das Operações Continuadas "," 1700541 "," 1201554 "," 1644366 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 1700541 "," 1201554 "," 1644366 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.72000 "," 0.51000 "," 0.70000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.72000 "," 0.51000 "," 0.70000 "
