Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 432957 "," 208194 "," 300222 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -349693 "," -136777 "," -283117 "
3.03," Resultado Bruto "," 83264 "," 71417 "," 17105 "
3.04," Despesas/Receitas Operacionais "," -435777 "," -348178 "," -473560 "
3.04.01," Despesas com Vendas "," -59135 "," -24208 "," -57452 "
3.04.02," Despesas Gerais e Administrativas "," -87618 "," -64552 "," -63126 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.04.01," Ganhos em Participações Societárias "," "," "," "
3.04.04.02," Outras "," "," "," "
3.04.05," Outras Despesas Operacionais "," -288756 "," -257142 "," -354484 "
3.04.05.01," Despesas Tributárias "," -2630 "," -3030 "," -6445 "
3.04.05.02," Depreciações/Amortizações "," -706 "," -2843 "," -3653 "
3.04.05.04," Perdas em Participações Societárias "," "," "," "
3.04.05.05," Outras "," -285420 "," -251269 "," -344386 "
3.04.06," Resultado de Equivalência Patrimonial "," -268 "," -2276 "," 1502 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -352513 "," -276761 "," -456455 "
3.06," Resultado Financeiro "," 221669 "," -81056 "," -463555 "
3.06.01," Receitas Financeiras "," 1190706 "," 396973 "," 14144 "
3.06.02," Despesas Financeiras "," -969037 "," -478029 "," -477699 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -130844 "," -357817 "," -920010 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 9399 "," -98886 "," 10159 "
3.08.01," Corrente "," -7996 "," -4066 "," -9383 "
3.08.02," Diferido "," 17395 "," -94820 "," 19542 "
3.09," Resultado Líquido das Operações Continuadas "," -121445 "," -456703 "," -909851 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -121445 "," -456703 "," -909851 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -127235 "," -454615 "," -900046 "
3.11.02," Atribuído a Sócios Não Controladores "," 5790 "," -2088 "," -9805 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -3.61525 "," -56.36189 "," -111.58517 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -3.61525 "," -56.36189 "," -111.58517 "
