Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 67981 "," 44011 "," -145261 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -55376 "," -58040 "," 109699 "
3.03," Resultado Bruto "," 12605 "," -14029 "," -35562 "
3.04," Despesas/Receitas Operacionais "," -62567 "," -132172 "," -129059 "
3.04.01," Despesas com Vendas "," -6581 "," -4518 "," -8664 "
3.04.02," Despesas Gerais e Administrativas "," -48109 "," -29342 "," -24431 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -3728 "," -97507 "," -89212 "
3.04.06," Resultado de Equivalência Patrimonial "," -4149 "," -805 "," -6752 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -49962 "," -146201 "," -164621 "
3.06," Resultado Financeiro "," -8088 "," -35993 "," -55981 "
3.06.01," Receitas Financeiras "," 4973 "," 3607 "," 2279 "
3.06.02," Despesas Financeiras "," -13061 "," -39600 "," -58260 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -58050 "," -182194 "," -220602 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 124 "," 950 "," 268 "
3.08.01," Corrente "," -627 "," -418 "," -660 "
3.08.02," Diferido "," 751 "," 1368 "," 928 "
3.09," Resultado Líquido das Operações Continuadas "," -57926 "," -181244 "," -220334 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -57926 "," -181244 "," -220334 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -57531 "," -180781 "," -220512 "
3.11.02," Atribuído a Sócios Não Controladores "," -395 "," -463 "," 178 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.48000 "," -2.69000 "," -4.79000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0.48000 "," -2.69000 "," -4.79000 "
