Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 63 "," 158 "," 736 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -26 "," -49 "," -513 "
3.03," Resultado Bruto "," 37 "," 109 "," 223 "
3.04," Despesas/Receitas Operacionais "," -463 "," -135 "," -154 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -195 "," -134 "," -131 "
3.04.02.01," Despesas administrativas "," -184 "," -124 "," -123 "
3.04.02.02," Depreciações/ amortizações "," -11 "," -10 "," -8 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -268 "," -1 "," -23 "
3.04.05.01," Despesas tributárias "," -54 "," -22 "," -19 "
3.04.05.02," Outras "," -214 "," 21 "," -4 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -426 "," -26 "," 69 "
3.06," Resultado Financeiro "," 90 "," 8 "," -2 "
3.06.01," Receitas Financeiras "," 91 "," 11 "," 21 "
3.06.02," Despesas Financeiras "," -1 "," -3 "," -23 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -336 "," -18 "," 67 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 0 "," 1 "," -9 "
3.08.01," Corrente "," 0 "," 1 "," -9 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -336 "," -17 "," 58 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -336 "," -17 "," 58 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.00926 "," -0.00047 "," 0.00207 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0.00926 "," -0.00047 "," 0.00207 "
