Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 316714 "," 338460 "," 363310 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -325190 "," -359990 "," -395035 "
3.03," Resultado Bruto "," -8476 "," -21530 "," -31725 "
3.04," Despesas/Receitas Operacionais "," -44961 "," -18036 "," -18903 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -17989 "," -18583 "," -19085 "
3.04.02.01," Despesas administrativas "," -17989 "," -15586 "," -15808 "
3.04.02.02," Remuneração da administração "," 0 "," -2997 "," -3277 "
3.04.02.03," Tributárias "," "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -27826 "," 0 "," 0 "
3.04.04," Outras Receitas Operacionais "," 854 "," 547 "," 182 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -53437 "," -39566 "," -50628 "
3.06," Resultado Financeiro "," -83703 "," -61566 "," -83907 "
3.06.01," Receitas Financeiras "," 477 "," 714 "," 719 "
3.06.01.01," Receitas Financeiras "," 477 "," 714 "," 719 "
3.06.02," Despesas Financeiras "," -84180 "," -62280 "," -84626 "
3.06.02.01," Despesas Financeiras "," -84143 "," -62238 "," -84600 "
3.06.02.02," Variação Cambial Liquida "," -37 "," -42 "," -26 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -137140 "," -101132 "," -134535 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 46420 "," 34141 "," 45721 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," 46420 "," 34141 "," 45721 "
3.09," Resultado Líquido das Operações Continuadas "," -90720 "," -66991 "," -88814 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -90720 "," -66991 "," -88814 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.13770 "," -0.10170 "," -0.13720 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0.13770 "," -0.10170 "," -0.13720 "
