Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 579411 "," 464953 "," 514508 "
3.01.01," Receita operacional líquida "," 579411 "," 464953 "," 514508 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -422074 "," -351537 "," -364032 "
3.02.01," Custo dos serviços prestados "," -422074 "," -351537 "," -364032 "
3.03," Resultado Bruto "," 157337 "," 113416 "," 150476 "
3.04," Despesas/Receitas Operacionais "," -51545 "," -46151 "," -46690 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -52035 "," -46269 "," -47065 "
3.04.02.01," Gerais e administrativas "," -52035 "," -46269 "," -47065 "
3.04.02.02," Remuneração dos Administradores "," "," "," "
3.04.02.03," Depreciação "," "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 490 "," 118 "," 375 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 105792 "," 67265 "," 103786 "
3.06," Resultado Financeiro "," -205794 "," -155611 "," -164151 "
3.06.01," Receitas Financeiras "," 16201 "," 4685 "," 7116 "
3.06.02," Despesas Financeiras "," -221995 "," -160296 "," -171267 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -100002 "," -88346 "," -60365 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 31605 "," 291439 "," 68739 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," 31605 "," 291439 "," 68739 "
3.09," Resultado Líquido das Operações Continuadas "," -68397 "," 203093 "," 8374 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -68397 "," 203093 "," 8374 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.00800 "," 0.03000 "," 0.00100 "
3.99.01.02," PN "," -0.00800 "," 0.03000 "," 0.00100 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0.00800 "," 0.03000 "," 0.00100 "
3.99.02.02," PN "," -0.00800 "," 0.03000 "," 0.00100 "
