Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 12454 "," 16914 "," 17142 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -256 "," -4545 "," -5509 "
3.03," Resultado Bruto "," 12198 "," 12369 "," 11633 "
3.04," Despesas/Receitas Operacionais "," -4289 "," -4736 "," -4228 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -4289 "," -4736 "," -4228 "
3.04.02.01," Despesas administrativas "," -7400 "," -6710 "," -5691 "
3.04.02.02," Despesas de comercialização "," -53 "," -78 "," -73 "
3.04.02.03," Despesas tributárias "," -104 "," -23 "," -68 "
3.04.02.04," Outras receitas "," 3268 "," 2075 "," 1604 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 7909 "," 7633 "," 7405 "
3.06," Resultado Financeiro "," 65 "," 73 "," 191 "
3.06.01," Receitas Financeiras "," 88 "," 73 "," 191 "
3.06.02," Despesas Financeiras "," -23 "," 0 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 7974 "," 7706 "," 7596 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -2640 "," -2550 "," -2523 "
3.08.01," Corrente "," -2640 "," -2550 "," -2523 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 5334 "," 5156 "," 5073 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 5334 "," 5156 "," 5073 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 13.34000 "," 12.89000 "," 12.68000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
