Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 7528710 "," 6858492 "," 6422248 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -5108147 "," -4737825 "," -4404082 "
3.03," Resultado Bruto "," 2420563 "," 2120667 "," 2018166 "
3.04," Despesas/Receitas Operacionais "," -2046574 "," -1798885 "," -1802340 "
3.04.01," Despesas com Vendas "," -1777245 "," -1583398 "," -1597629 "
3.04.02," Despesas Gerais e Administrativas "," -271820 "," -219605 "," -204711 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 1367 "," 4276 "," 159 "
3.04.05," Outras Despesas Operacionais "," -1107 "," -1470 "," -665 "
3.04.06," Resultado de Equivalência Patrimonial "," 2231 "," 1312 "," 506 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 373989 "," 321782 "," 215826 "
3.06," Resultado Financeiro "," -200660 "," -253183 "," -245852 "
3.06.01," Receitas Financeiras "," 79561 "," 204976 "," 316611 "
3.06.02," Despesas Financeiras "," -280221 "," -458159 "," -562463 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 173329 "," 68599 "," -30026 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -8872 "," 27434 "," 23081 "
3.08.01," Corrente "," -20335 "," 0 "," 0 "
3.08.02," Diferido "," 11463 "," 27434 "," 23081 "
3.09," Resultado Líquido das Operações Continuadas "," 164457 "," 96033 "," -6945 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 164457 "," 96033 "," -6945 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," 0.37000 "," 0.00000 "," 0.00000 "
3.99.01.01," PN "," "," "," "
3.99.01.02," ON "," 0.37000 "," 0.22000 "," -0.02000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.00000 "," 0.00000 "," -0.02000 "
