Conta," Descrição ","01/12/2021 a 31/12/2021 ","01/12/2020 a 31/12/2020 ","01/12/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 242004 "," 195198 "," 222488 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -127030 "," -111395 "," -138753 "
3.02.01," Custo do uso do serviço de transmissão - CUST "," -21438 "," -19773 "," -18873 "
3.02.02," Outros custos operacionais "," -13603 "," -12890 "," -14031 "
3.02.03," Depreciação e amortização "," -38430 "," -41454 "," -38458 "
3.02.04," Uso do bem público - UBP "," -374 "," -375 "," -375 "
3.02.05," Energia elétrica comprada para revenda "," -63970 "," -31074 "," -60030 "
3.02.06," Compensação financeira pela utilização dos recursos hídricos - CFURH "," -6625 "," -5829 "," -6986 "
3.02.07," (-) Recuperação de custo - Extensão da concessão "," 17410 "," 0 "," 0 "
3.03," Resultado Bruto "," 114974 "," 83803 "," 83735 "
3.04," Despesas/Receitas Operacionais "," -2130 "," -4074 "," -5317 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -3224 "," -4209 "," -5317 "
3.04.02.05," Honorários da diretoria e conselho de administração "," "," "," "
3.04.02.06," Gerais e administrativas "," -2867 "," -3718 "," -4921 "
3.04.02.07," Pessoal "," -357 "," -491 "," -396 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 1094 "," 135 "," 0 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 112844 "," 79729 "," 78418 "
3.06," Resultado Financeiro "," -69020 "," -52022 "," -57404 "
3.06.01," Receitas Financeiras "," 4113 "," 2323 "," 3769 "
3.06.02," Despesas Financeiras "," -73133 "," -54345 "," -61173 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 43824 "," 27707 "," 21014 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -8300 "," -3231 "," -7711 "
3.08.01," Corrente "," -1846 "," -1940 "," -1441 "
3.08.02," Diferido "," -6454 "," -1291 "," -6270 "
3.09," Resultado Líquido das Operações Continuadas "," 35524 "," 24476 "," 13303 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 35524 "," 24476 "," 13303 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.04400 "," 0.03030 "," 0.01600 "
3.99.02," Lucro Diluído por Ação "," "," "," "
