Conta," Descrição ","01/04/2021 a 31/03/2022 ","01/04/2020 a 31/03/2021 "
3.01," Receita de Venda de Bens e/ou Serviços "," 50371140 "," 32090805 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -45840952 "," -28420190 "
3.03," Resultado Bruto "," 4530188 "," 3670615 "
3.04," Despesas/Receitas Operacionais "," -2213913 "," -1913534 "
3.04.01," Despesas com Vendas "," -1223324 "," -1173229 "
3.04.02," Despesas Gerais e Administrativas "," -997174 "," -685605 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 48769 "," 17209 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," -42184 "," -71909 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 2316275 "," 1757081 "
3.06," Resultado Financeiro "," -784262 "," -924778 "
3.06.01," Receitas Financeiras "," 817179 "," 762141 "
3.06.01.01," Receitas financeiras "," 454265 "," 375107 "
3.06.01.02," Efeito líquido dos derivativos "," 0 "," 387034 "
3.06.01.03," Variações cambiais, líquidas "," 362914 "," 0 "
3.06.02," Despesas Financeiras "," -1601441 "," -1686919 "
3.06.02.01," Despesas financeiros "," -1583308 "," -1457509 "
3.06.02.02," Variações cambiais, líquidas "," 0 "," -229410 "
3.06.02.03," Efeito líquido dos derivativos "," -18133 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1532013 "," 832303 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -373977 "," -238355 "
3.08.01," Corrente "," -692680 "," -729170 "
3.08.02," Diferido "," 318703 "," 490815 "
3.09," Resultado Líquido das Operações Continuadas "," 1158036 "," 593948 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 1158036 "," 593948 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 1247466 "," 614180 "
3.11.02," Atribuído a Sócios Não Controladores "," -89430 "," -20232 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.11700 "," 0.08500 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 0.11700 "," 0.08500 "
