Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 39717998 "," 36207874 "," 35210215 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -23775050 "," -20493613 "," -19491026 "
3.03," Resultado Bruto "," 15942948 "," 15714261 "," 15719189 "
3.04," Despesas/Receitas Operacionais "," -9533461 "," -8740584 "," -9812868 "
3.04.01," Despesas com Vendas "," -7636889 "," -6969586 "," -7232624 "
3.04.02," Despesas Gerais e Administrativas "," -3029301 "," -2599974 "," -2898674 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 1649205 "," 929430 "," 871908 "
3.04.05," Outras Despesas Operacionais "," -549098 "," -269615 "," -316184 "
3.04.06," Resultado de Equivalência Patrimonial "," 32622 "," 169161 "," -237294 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 6409487 "," 6973677 "," 5906321 "
3.06," Resultado Financeiro "," -5418903 "," -3979283 "," -3642839 "
3.06.01," Receitas Financeiras "," 405765 "," 498432 "," 847775 "
3.06.02," Despesas Financeiras "," -5824668 "," -4477715 "," -4490614 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 990584 "," 2994394 "," 2263482 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 2461580 "," 481469 "," -760866 "
3.08.01," Corrente "," -643256 "," 449771 "," -374179 "
3.08.02," Diferido "," 3104836 "," 31698 "," -386687 "
3.09," Resultado Líquido das Operações Continuadas "," 3452164 "," 3475863 "," 1502616 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 3452164 "," 3475863 "," 1502616 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 1935026 "," 1612548 "," 536361 "
3.11.02," Atribuído a Sócios Não Controladores "," 1517138 "," 1863315 "," 966255 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
