Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1852245 "," 1153670 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1263563 "," -882204 "
3.03," Resultado Bruto "," 588682 "," 271466 "
3.04," Despesas/Receitas Operacionais "," -591914 "," -828370 "
3.04.01," Despesas com Vendas "," -450948 "," -231734 "
3.04.01.01," Despesas com Vendas e Operacionais "," -450948 "," -231734 "
3.04.01.02," Reversão Perda Estimada para Crédito de Liquidação Duvidosa "," 1602 "," 0 "
3.04.02," Despesas Gerais e Administrativas "," -171474 "," -242449 "
3.04.02.01," Despesas Gerais e Administrativas "," -171474 "," -124897 "
3.04.02.02," Depreciação e Amortização "," 0 "," -117552 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," 0 "," -327432 "
3.04.04," Outras Receitas Operacionais "," 16461 "," -24069 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 12445 "," -2686 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -3232 "," -556904 "
3.06," Resultado Financeiro "," -73005 "," -51064 "
3.06.01," Receitas Financeiras "," "," "
3.06.02," Despesas Financeiras "," "," "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -76237 "," -607968 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -4212 "," 134390 "
3.08.01," Corrente "," 4722 "," 0 "
3.08.02," Diferido "," -8934 "," 134390 "
3.09," Resultado Líquido das Operações Continuadas "," -80449 "," -473578 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," -80449 "," -473578 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -80449 "," -473578 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," -285444400.00000 "," -1.64984 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," -285444400.00000 "," -1.64984 "
