Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 610926 "," 525624 "," 499486 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -379148 "," -258818 "," -265125 "
3.03," Resultado Bruto "," 231778 "," 266806 "," 234361 "
3.04," Despesas/Receitas Operacionais "," -45778 "," -40171 "," -40402 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -42191 "," -36293 "," -28316 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -3587 "," -3878 "," -12086 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 186000 "," 226635 "," 193959 "
3.06," Resultado Financeiro "," -136506 "," -172580 "," -213890 "
3.06.01," Receitas Financeiras "," 3722 "," 2534 "," 3346 "
3.06.02," Despesas Financeiras "," -140228 "," -175114 "," -217236 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 49494 "," 54055 "," -19931 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -4649 "," -6100 "," 6965 "
3.08.01," Corrente "," -6254 "," -3619 "," -52 "
3.08.02," Diferido "," 1605 "," -2481 "," 7017 "
3.09," Resultado Líquido das Operações Continuadas "," 44845 "," 47955 "," -12966 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 44845 "," 47955 "," -12966 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.12281 "," 0.13190 "," 0.03566 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," "," "," "
