Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 7579 "," 4353 "," 4112 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -3114 "," -1349 "," -1002 "
3.03," Resultado Bruto "," 4465 "," 3004 "," 3110 "
3.04," Despesas/Receitas Operacionais "," -3700 "," -2604 "," -2601 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -3700 "," -2604 "," -2601 "
3.04.02.01," Despesas Gerais e Administrativas "," -2756 "," -1903 "," -1933 "
3.04.02.02," Despesas Tributarias "," -136 "," -93 "," -78 "
3.04.02.03," Depreciação/Amortização "," -808 "," -608 "," -590 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 765 "," 400 "," 509 "
3.06," Resultado Financeiro "," -231 "," -40 "," -31 "
3.06.01," Receitas Financeiras "," 0 "," 49 "," 25 "
3.06.02," Despesas Financeiras "," -231 "," -89 "," -56 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 534 "," 360 "," 478 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -223 "," -96 "," -136 "
3.08.01," Corrente "," -223 "," -96 "," -136 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 311 "," 264 "," 342 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 311 "," 264 "," 342 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 3.10920 "," 2.90370 "," 3.42000 "
3.99.01.02," PN "," 3.42010 "," 2.64000 "," 3.76160 "
3.99.02," Lucro Diluído por Ação "," "," "," "
