Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 161 "," 156 "," 203 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -21 "," -35 "," -81 "
3.03," Resultado Bruto "," 140 "," 121 "," 122 "
3.04," Despesas/Receitas Operacionais "," 28 "," 45 "," -51 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -121 "," -70 "," -59 "
3.04.02.01," Despesas Gerais e Administrativas "," -115 "," -65 "," -56 "
3.04.02.02," Despesas Tributárias "," -6 "," -5 "," -3 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 149 "," 115 "," 8 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 168 "," 166 "," 71 "
3.06," Resultado Financeiro "," 1224 "," 5 "," 6 "
3.06.01," Receitas Financeiras "," 5827 "," 5 "," 6 "
3.06.02," Despesas Financeiras "," -4603 "," 0 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1392 "," 171 "," 77 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -443 "," -29 "," -13 "
3.08.01," Corrente "," -443 "," -29 "," -13 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 949 "," 142 "," 64 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 949 "," 142 "," 64 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 3.98739 "," 0.00060 "," 1.28474 "
3.99.01.02," ON "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
