Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 652367 "," 486027 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -176460 "," -171813 "
3.02.01," Energia elétrica comprada para revenda "," -88935 "," -51933 "
3.02.02," Materiais e serviços de terceiros "," -39594 "," -36070 "
3.02.03," Depreciação e amortização "," -21235 "," -20912 "
3.02.04," Encargos de uso de rede elétrica e de conexão "," -13306 "," -11883 "
3.02.05," Transações no mercado de energia de curto prazo "," -9897 "," -23231 "
3.02.06," Pessoal "," -7784 "," -7266 "
3.02.07," Seguros "," -1859 "," -9436 "
3.02.08," Repactuação do risco hidrológico "," 10329 "," 0 "
3.02.09," Outros custos operacionais "," -4179 "," -11082 "
3.03," Resultado Bruto "," 475907 "," 314214 "
3.04," Despesas/Receitas Operacionais "," -900 "," -1021 "
3.04.01," Despesas com Vendas "," "," "
3.04.02," Despesas Gerais e Administrativas "," -919 "," -1104 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 19 "," 83 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 475007 "," 313193 "
3.06," Resultado Financeiro "," -155681 "," -105080 "
3.06.01," Receitas Financeiras "," 7039 "," 2798 "
3.06.02," Despesas Financeiras "," -162720 "," -107878 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 319326 "," 208113 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -108563 "," -70836 "
3.08.01," Corrente "," -43213 "," -41920 "
3.08.02," Diferido "," -65350 "," -28916 "
3.09," Resultado Líquido das Operações Continuadas "," 210763 "," 137277 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 210763 "," 137277 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.24668 "," 0.16067 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 0.24668 "," 0.16067 "
