Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 504676 "," 462089 "," 491326 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -157418 "," -144032 "," -148946 "
3.03," Resultado Bruto "," 347258 "," 318057 "," 342380 "
3.04," Despesas/Receitas Operacionais "," -77585 "," -65417 "," -87860 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -70138 "," -60499 "," -76467 "
3.04.02.01," Despesas Gerais e Administrativas "," -61570 "," -52560 "," -69502 "
3.04.02.02," Despesas de Pessoal "," -8568 "," -7939 "," -6965 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -4802 "," -627 "," -1983 "
3.04.06," Resultado de Equivalência Patrimonial "," -2645 "," -4291 "," -9410 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 269673 "," 252640 "," 254520 "
3.06," Resultado Financeiro "," 151731 "," 118204 "," 158071 "
3.06.01," Receitas Financeiras "," 152406 "," 118624 "," 158544 "
3.06.02," Despesas Financeiras "," -675 "," -420 "," -473 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 421404 "," 370844 "," 412591 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -141338 "," -126168 "," -140929 "
3.08.01," Corrente "," -141864 "," -125862 "," -140834 "
3.08.02," Diferido "," 526 "," -306 "," -95 "
3.09," Resultado Líquido das Operações Continuadas "," 280066 "," 244676 "," 271662 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 280066 "," 244676 "," 271662 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.68000 "," 0.60000 "," 0.66000 "
3.99.01.02," PN "," 0.68000 "," 0.60000 "," 0.66000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
