Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 5765779 "," 4671168 "," 4406215 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -887538 "," -823532 "," -743782 "
3.03," Resultado Bruto "," 4878241 "," 3847636 "," 3662433 "
3.04," Despesas/Receitas Operacionais "," -86989 "," 30086 "," -78081 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -78152 "," -71234 "," -54588 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," 0 "," -25 "," -23493 "
3.04.04," Outras Receitas Operacionais "," -8837 "," 101345 "," 0 "
3.04.04.01," Recuperação de Impostos "," -8837 "," 101345 "," 0 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 4791252 "," 3877722 "," 3584352 "
3.06," Resultado Financeiro "," -210094 "," -107387 "," -282260 "
3.06.01," Receitas Financeiras "," 79540 "," 62768 "," 67324 "
3.06.02," Despesas Financeiras "," -289634 "," -170155 "," -349584 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 4581158 "," 3770335 "," 3302092 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -1521484 "," -1242351 "," -1084573 "
3.08.01," Corrente "," -1257511 "," -859037 "," -688752 "
3.08.02," Diferido "," -263973 "," -383314 "," -395821 "
3.09," Resultado Líquido das Operações Continuadas "," 3059674 "," 2527984 "," 2217519 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 3059674 "," 2527984 "," 2217519 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.32000 "," 1.09000 "," 0.96000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.32000 "," 1.09000 "," 0.96000 "
