Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 26605149 "," 45861391 "," 10976904 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -24044457 "," -44350930 "," -10423647 "
3.03," Resultado Bruto "," 2560692 "," 1510461 "," 553257 "
3.04," Despesas/Receitas Operacionais "," -2456024 "," -1321074 "," -31560 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -2456024 "," -1321074 "," -31560 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 104668 "," 189387 "," 521697 "
3.06," Resultado Financeiro "," 4816 "," -131839 "," -67785 "
3.06.01," Receitas Financeiras "," 9804 "," 620 "," 13368 "
3.06.02," Despesas Financeiras "," -4988 "," -132459 "," -81153 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 109484 "," 57548 "," 453912 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -26278 "," -13811 "," -130330 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 83206 "," 43737 "," 323582 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 83206 "," 43737 "," 323582 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
