Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1916332 "," 701612 "," 484385 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1499772 "," -542819 "," -374870 "
3.03," Resultado Bruto "," 416560 "," 158793 "," 109515 "
3.04," Despesas/Receitas Operacionais "," -87818 "," -29667 "," -24878 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -103891 "," -31151 "," -26099 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 16073 "," 1484 "," 1221 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 328742 "," 129126 "," 84637 "
3.06," Resultado Financeiro "," -106076 "," -54622 "," -40016 "
3.06.01," Receitas Financeiras "," 38275 "," 14595 "," 2185 "
3.06.02," Despesas Financeiras "," -144351 "," -69217 "," -42201 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 222666 "," 74504 "," 44621 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -53795 "," -24981 "," -9153 "
3.08.01," Corrente "," -47055 "," -12421 "," -6149 "
3.08.02," Diferido "," -6740 "," -12560 "," -3004 "
3.09," Resultado Líquido das Operações Continuadas "," 168871 "," 49523 "," 35468 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 168871 "," 49523 "," 35468 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 144163 "," 44824 "," 31498 "
3.11.02," Atribuído a Sócios Não Controladores "," 24708 "," 4699 "," 3970 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.28000 "," 0.40000 "," 0.46000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.28000 "," 0.40000 "," 0.46000 "
