Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2791678 "," 1243767 "," 1304114 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1173210 "," -486637 "," -442105 "
3.03," Resultado Bruto "," 1618468 "," 757130 "," 862009 "
3.04," Despesas/Receitas Operacionais "," -1418754 "," -841894 "," -712670 "
3.04.01," Despesas com Vendas "," -988238 "," -538465 "," -484380 "
3.04.02," Despesas Gerais e Administrativas "," -365513 "," -230771 "," -207831 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -65214 "," -72658 "," -20459 "
3.04.06," Resultado de Equivalência Patrimonial "," 211 "," 0 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 199714 "," -84764 "," 149339 "
3.06," Resultado Financeiro "," -19752 "," -103240 "," -9017 "
3.06.01," Receitas Financeiras "," 66882 "," 40025 "," 52465 "
3.06.02," Despesas Financeiras "," -86634 "," -143265 "," -61482 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 179962 "," -188004 "," 140322 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 119828 "," 118288 "," -13487 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," 119828 "," 118288 "," -13487 "
3.09," Resultado Líquido das Operações Continuadas "," 299790 "," -69716 "," 126835 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 299790 "," -69716 "," 126835 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 299790 "," -69716 "," 125714 "
3.11.02," Atribuído a Sócios Não Controladores "," 0 "," 0 "," 1121 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.62000 "," 0.18000 "," 9.80000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.62000 "," 0.18000 "," 9.53000 "
