Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 15876857 "," 12397038 "," 8035545 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -12174415 "," -9407628 "," -5953147 "
3.03," Resultado Bruto "," 3702442 "," 2989410 "," 2082398 "
3.04," Despesas/Receitas Operacionais "," -2786275 "," -2119725 "," -1620974 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -2727008 "," -2116623 "," -1605526 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -59267 "," -3102 "," -15448 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 916167 "," 869685 "," 461424 "
3.06," Resultado Financeiro "," -128617 "," -145146 "," -111554 "
3.06.01," Receitas Financeiras "," 141263 "," 83477 "," 71602 "
3.06.02," Despesas Financeiras "," -269880 "," -228623 "," -183156 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 787550 "," 724539 "," 349870 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -18759 "," 1730 "," -12175 "
3.08.01," Corrente "," -18759 "," -1943 "," -3229 "
3.08.02," Diferido "," 0 "," 3673 "," -8946 "
3.09," Resultado Líquido das Operações Continuadas "," 768791 "," 726269 "," 337695 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 768791 "," 726269 "," 337695 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 758931 "," 725808 "," 337601 "
3.11.02," Atribuído a Sócios Não Controladores "," 9860 "," 461 "," 94 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.16000 "," 0.15000 "," 0.37000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.16000 "," 0.15000 "," 0.37000 "
