Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 41898000 "," 36043000 "," 28082000 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -34753000 "," -30129000 "," -23349000 "
3.03," Resultado Bruto "," 7145000 "," 5914000 "," 4733000 "
3.04," Despesas/Receitas Operacionais "," -4566000 "," -3637000 "," -2953000 "
3.04.01," Despesas com Vendas "," -3334000 "," -2811000 "," -2273000 "
3.04.02," Despesas Gerais e Administrativas "," -588000 "," -435000 "," -352000 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -691000 "," -600000 "," -406000 "
3.04.05.01," Depreciação / Amortização "," -638000 "," -503000 "," -395000 "
3.04.05.02," Ganho/Perda na Alienação de Imobilizado "," "," "," "
3.04.05.03," Outras Despesas Operacionais "," -53000 "," -97000 "," -11000 "
3.04.06," Resultado de Equivalência Patrimonial "," 47000 "," 209000 "," 78000 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 2579000 "," 2277000 "," 1780000 "
3.06," Resultado Financeiro "," -730000 "," -443000 "," -200000 "
3.06.01," Receitas Financeiras "," 188000 "," 343000 "," 236000 "
3.06.02," Despesas Financeiras "," -918000 "," -786000 "," -436000 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1849000 "," 1834000 "," 1580000 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -239000 "," -436000 "," -426000 "
3.08.01," Corrente "," -366000 "," -704000 "," -293000 "
3.08.02," Diferido "," 127000 "," 268000 "," -133000 "
3.09," Resultado Líquido das Operações Continuadas "," 1610000 "," 1398000 "," 1154000 "
3.10," Resultado Líquido de Operações Descontinuadas "," 0 "," 0 "," -107000 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 1610000 "," 1398000 "," 1047000 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.19802 "," 1.04328 "," 0.81163 "
3.99.01.02," PN "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.18852 "," 1.04328 "," 0.81163 "
3.99.02.02," PN "," "," "," "
