Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1860022 "," 1613151 "," 1499474 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1219830 "," -1060365 "," -992500 "
3.03," Resultado Bruto "," 640192 "," 552786 "," 506974 "
3.04," Despesas/Receitas Operacionais "," -538171 "," -426771 "," -440677 "
3.04.01," Despesas com Vendas "," -455871 "," -406359 "," -372698 "
3.04.02," Despesas Gerais e Administrativas "," -82448 "," -71036 "," -69557 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," 1174 "," -2676 "," -1775 "
3.04.04," Outras Receitas Operacionais "," 0 "," 53300 "," 3353 "
3.04.05," Outras Despesas Operacionais "," -1026 "," 0 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 102021 "," 126015 "," 66297 "
3.06," Resultado Financeiro "," -72975 "," -126513 "," -84393 "
3.06.01," Receitas Financeiras "," 13419 "," 20929 "," 12036 "
3.06.02," Despesas Financeiras "," -86394 "," -147442 "," -96429 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 29046 "," -498 "," -18096 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -9102 "," -6008 "," 3855 "
3.08.01," Corrente "," -7996 "," -18370 "," -372 "
3.08.02," Diferido "," -1106 "," 12362 "," 4227 "
3.09," Resultado Líquido das Operações Continuadas "," 19944 "," -6506 "," -14241 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 19944 "," -6506 "," -14241 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," -6505 "," -13956 "
3.11.02," Atribuído a Sócios Não Controladores "," 0 "," -1 "," -285 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.13100 "," -0.04300 "," -0.66000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.13100 "," -0.04300 "," -0.66000 "
