Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2360792 "," 1359357 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1683355 "," -799712 "
3.03," Resultado Bruto "," 677437 "," 559645 "
3.04," Despesas/Receitas Operacionais "," -697036 "," -490999 "
3.04.01," Despesas com Vendas "," -60550 "," -65554 "
3.04.02," Despesas Gerais e Administrativas "," -662040 "," -469902 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 25554 "," 44457 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -19599 "," 68646 "
3.06," Resultado Financeiro "," -54364 "," -20015 "
3.06.01," Receitas Financeiras "," 62948 "," 19659 "
3.06.02," Despesas Financeiras "," -117312 "," -39674 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -73963 "," 48631 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 12176 "," -34180 "
3.08.01," Corrente "," -52298 "," -77687 "
3.08.02," Diferido "," 64474 "," 43507 "
3.09," Resultado Líquido das Operações Continuadas "," -61787 "," 14451 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," -61787 "," 14451 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -64184 "," 10323 "
3.11.02," Atribuído a Sócios Não Controladores "," 2397 "," 4128 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.00000 "," 0.01740 "
3.99.01.02," PN "," -0.14940 "," 0.00880 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," -1494.00000 "," 0.00850 "
