Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 8423180 "," 5411382 "," 5263684 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -6799472 "," -4831133 "," -4606117 "
3.03," Resultado Bruto "," 1623708 "," 580249 "," 657567 "
3.04," Despesas/Receitas Operacionais "," -269773 "," -149307 "," -413168 "
3.04.01," Despesas com Vendas "," -42269 "," -37120 "," -35922 "
3.04.02," Despesas Gerais e Administrativas "," -338027 "," -283902 "," -213997 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 97799 "," 174761 "," 0 "
3.04.05," Outras Despesas Operacionais "," 0 "," 0 "," -177746 "
3.04.06," Resultado de Equivalência Patrimonial "," 12724 "," -3046 "," 14497 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1353935 "," 430942 "," 244399 "
3.06," Resultado Financeiro "," -496527 "," -492474 "," -247497 "
3.06.01," Receitas Financeiras "," 587398 "," 136614 "," 321969 "
3.06.02," Despesas Financeiras "," -1083925 "," -629088 "," -569466 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 857408 "," -61532 "," -3098 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -19681 "," -818328 "," -31447 "
3.08.01," Corrente "," -68000 "," -52479 "," -42110 "
3.08.02," Diferido "," 48319 "," -765849 "," 10663 "
3.09," Resultado Líquido das Operações Continuadas "," 837727 "," -879860 "," -34545 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 837727 "," -879860 "," -34545 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 742944 "," -927828 "," -64225 "
3.11.02," Atribuído a Sócios Não Controladores "," 94783 "," 47968 "," 29680 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
