Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 457984 "," 286048 "," 163408 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -233093 "," -150359 "," -75022 "
3.03," Resultado Bruto "," 224891 "," 135689 "," 88386 "
3.04," Despesas/Receitas Operacionais "," -95223 "," -47372 "," -25447 "
3.04.01," Despesas com Vendas "," -32875 "," -18403 "," -10792 "
3.04.02," Despesas Gerais e Administrativas "," -55532 "," -35493 "," -23038 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," -6816 "," 6524 "," 8383 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 129668 "," 88317 "," 62939 "
3.06," Resultado Financeiro "," -15250 "," -11957 "," -5914 "
3.06.01," Receitas Financeiras "," 25185 "," 3571 "," 1244 "
3.06.02," Despesas Financeiras "," -40435 "," -15528 "," -7158 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 114418 "," 76360 "," 57025 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -33879 "," -25911 "," -20438 "
3.08.01," Corrente "," -19854 "," -24646 "," -16439 "
3.08.02," Diferido "," -14025 "," -1265 "," -3999 "
3.09," Resultado Líquido das Operações Continuadas "," 80539 "," 50449 "," 36587 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 80539 "," 50449 "," 36587 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 80539 "," 50449 "," 36587 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.44000 "," 4.41000 "," 4.73000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.44000 "," 4.41000 "," 4.73000 "
