Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 179711 "," 0 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -89399 "," 0 "
3.03," Resultado Bruto "," 90312 "," 0 "
3.04," Despesas/Receitas Operacionais "," 74056 "," -69 "
3.04.01," Despesas com Vendas "," 113242 "," 0 "
3.04.01.01," Ganho por compra vantajosa "," 113242 "," 0 "
3.04.02," Despesas Gerais e Administrativas "," -39820 "," -69 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," 634 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 164368 "," -69 "
3.06," Resultado Financeiro "," -51385 "," 0 "
3.06.01," Receitas Financeiras "," 4579 "," 0 "
3.06.02," Despesas Financeiras "," -55964 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 112983 "," -69 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -33215 "," 0 "
3.08.01," Corrente "," -1583 "," 0 "
3.08.02," Diferido "," -31632 "," 0 "
3.09," Resultado Líquido das Operações Continuadas "," 79768 "," -69 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 79768 "," -69 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," "," "
3.11.02," Atribuído a Sócios Não Controladores "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 247.57000 "," -69.34000 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 247.57000 "," -69.34000 "
