Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1418152 "," 900943 "," 707008 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -746846 "," -619701 "," -551652 "
3.03," Resultado Bruto "," 671306 "," 281242 "," 155356 "
3.04," Despesas/Receitas Operacionais "," 16972 "," -38697 "," -30900 "
3.04.01," Despesas com Vendas "," -70591 "," -77578 "," -67881 "
3.04.02," Despesas Gerais e Administrativas "," -57879 "," -31710 "," -24692 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 145099 "," 82547 "," 63347 "
3.04.04.01," Outras Receitas (Despesas) Operacionais "," 145099 "," 82547 "," 63347 "
3.04.05," Outras Despesas Operacionais "," 1010 "," -11844 "," 1600 "
3.04.05.01," Ganho (Perda) sobre Ativo Biológico "," 1010 "," -11844 "," 1600 "
3.04.06," Resultado de Equivalência Patrimonial "," -667 "," -112 "," -3274 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 688278 "," 242545 "," 124456 "
3.06," Resultado Financeiro "," -80366 "," -139373 "," -63285 "
3.06.01," Receitas Financeiras "," 8317 "," 9667 "," 1453 "
3.06.02," Despesas Financeiras "," -88683 "," -149040 "," -64738 "
3.06.02.01," Despesas Financeiras "," -83406 "," -72595 "," -58420 "
3.06.02.02," Variações Cambiais Líquidas "," -5277 "," -76445 "," -6318 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 607912 "," 103172 "," 61171 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -64293 "," -3211 "," 1415 "
3.08.01," Corrente "," -32001 "," 0 "," 0 "
3.08.02," Diferido "," -32292 "," -3211 "," 1415 "
3.09," Resultado Líquido das Operações Continuadas "," 543619 "," 99961 "," 62586 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 543619 "," 99961 "," 62586 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 439.12000 "," 151.52000 "," 103.24000 "
3.99.01.02," PN "," 439.12000 "," 151.52000 "," 0.00000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 439.12000 "," 151.52000 "," 103.24000 "
3.99.02.02," PN "," 439.12000 "," 151.52000 "," 0.00000 "
