Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 368539 "," 260017 "," 228953 "
3.01.01," Receita líquida "," 368539 "," 260017 "," 228953 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -201917 "," -140236 "," -117941 "
3.03," Resultado Bruto "," 166622 "," 119781 "," 111012 "
3.04," Despesas/Receitas Operacionais "," -84437 "," -62659 "," -59060 "
3.04.01," Despesas com Vendas "," 0 "," -1138 "," -1079 "
3.04.02," Despesas Gerais e Administrativas "," -73686 "," -66828 "," -61865 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," -10751 "," 5307 "," 3884 "
3.04.04.01," Outras receitas (despesas), líquidas "," -10751 "," 5307 "," 3884 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 82185 "," 57122 "," 51952 "
3.06," Resultado Financeiro "," -7731 "," -7869 "," -7819 "
3.06.01," Receitas Financeiras "," 1896 "," 1041 "," 2200 "
3.06.02," Despesas Financeiras "," -9627 "," -8910 "," -10019 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 74454 "," 49253 "," 44133 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -28617 "," -23079 "," -29537 "
3.08.01," Corrente "," -37140 "," -18732 "," -18788 "
3.08.02," Diferido "," 8523 "," -4347 "," -10749 "
3.09," Resultado Líquido das Operações Continuadas "," 45837 "," 26174 "," 14596 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 45837 "," 26174 "," 14596 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.89740 "," 4.41400 "," 2.46100 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.89740 "," 4.41400 "," 2.46100 "
