Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 7221181 "," 6245372 "," 7808044 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -3333248 "," -3084658 "," -2880903 "
3.03," Resultado Bruto "," 3887933 "," 3160714 "," 4927141 "
3.04," Despesas/Receitas Operacionais "," -3476362 "," -3192131 "," -4119598 "
3.04.01," Despesas com Vendas "," -2518796 "," -2325501 "," -3390363 "
3.04.02," Despesas Gerais e Administrativas "," -1164238 "," -1025226 "," -923908 "
3.04.02.01," Gerais e Administrativas "," -1150608 "," -1010915 "," -908206 "
3.04.02.02," Honorários da Administração "," -13630 "," -14311 "," -15702 "
3.04.02.03," Depreciação e Amortização "," "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," 206672 "," 158596 "," 194673 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 411571 "," -31417 "," 807543 "
3.06," Resultado Financeiro "," -200445 "," -169162 "," -95179 "
3.06.01," Receitas Financeiras "," 158418 "," 110199 "," 194410 "
3.06.02," Despesas Financeiras "," -358863 "," -279361 "," -289589 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 211126 "," -200579 "," 712364 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 242002 "," 173425 "," -119713 "
3.08.01," Corrente "," -87638 "," -5749 "," -258081 "
3.08.02," Diferido "," 329640 "," 179174 "," 138368 "
3.09," Resultado Líquido das Operações Continuadas "," 453128 "," -27154 "," 592651 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 453128 "," -27154 "," 592651 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 453128 "," -27154 "," 592651 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.90771 "," -0.05440 "," 1.18720 "
3.99.02," Lucro Diluído por Ação "," "," "," "
