Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," "," "," "
3.02," Custo dos Bens e/ou Serviços Vendidos "," "," "," "
3.03," Resultado Bruto "," "," "," "
3.04," Despesas/Receitas Operacionais "," -130 "," -128 "," -142 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -108 "," -107 "," -121 "
3.04.02.01," Despesas Administrativas "," -95 "," -96 "," -111 "
3.04.02.02," Despesas de Serviços do Sistema Financeiro "," -13 "," -11 "," -10 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.03.01," Provisão para perda de credito tributário "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.04.01," Receita de reversão de Provisão "," "," "," "
3.04.04.02," Perda na alienação de investimentos "," "," "," "
3.04.05," Outras Despesas Operacionais "," -22 "," -21 "," -21 "
3.04.05.01," Despesas tributárias "," -22 "," -21 "," -21 "
3.04.05.02," Impostos Assumidos - Não dedutivel "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -130 "," -128 "," -142 "
3.06," Resultado Financeiro "," 2 "," 2 "," 4 "
3.06.01," Receitas Financeiras "," 2 "," 2 "," 4 "
3.06.01.01," Rendimento Fundos de Renda Fixa "," 2 "," 2 "," 4 "
3.06.01.02," Variação Monetária de Impostos "," "," "," "
3.06.02," Despesas Financeiras "," "," "," "
3.06.02.01," Despesas de Serviço do Sistema Financeiro "," "," "," "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -128 "," -126 "," -138 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," "," "," "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -128 "," -126 "," -138 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -128 "," -126 "," -138 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.00035 "," -0.00056 "," -0.00067 "
3.99.02," Lucro Diluído por Ação "," "," "," "
