Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 862974 "," 546452 "," 556332 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -732221 "," -465772 "," -462754 "
3.03," Resultado Bruto "," 130753 "," 80680 "," 93578 "
3.04," Despesas/Receitas Operacionais "," 62391 "," -2104 "," -46388 "
3.04.01," Despesas com Vendas "," -5846 "," -5625 "," -5443 "
3.04.02," Despesas Gerais e Administrativas "," -28167 "," -26250 "," -29706 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -525 "," 22 "," -51 "
3.04.04," Outras Receitas Operacionais "," 118270 "," 84775 "," 5435 "
3.04.05," Outras Despesas Operacionais "," -21341 "," -55026 "," -16623 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 193144 "," 78576 "," 47190 "
3.06," Resultado Financeiro "," -2991 "," -107074 "," -51179 "
3.06.01," Receitas Financeiras "," 62780 "," 25372 "," 2506 "
3.06.01.01," Receitas Financeiras "," 61074 "," 16187 "," 1637 "
3.06.01.02," Variação cambial - fundo exclusivo "," "," "," "
3.06.01.03," Variação cambial Ativa "," 1706 "," 9185 "," 869 "
3.06.02," Despesas Financeiras "," -65771 "," -132446 "," -53685 "
3.06.02.01," Despesas Financeiras "," -36297 "," -31919 "," -39765 "
3.06.02.02," Variação Cambial - fundo exclusivo "," "," "," "
3.06.02.03," Variação Cambial Passiva "," -29474 "," -100527 "," -13920 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 190153 "," -28498 "," -3989 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -40823 "," -2482 "," -2485 "
3.08.01," Corrente "," -41009 "," -2689 "," -2685 "
3.08.02," Diferido "," 186 "," 207 "," 200 "
3.09," Resultado Líquido das Operações Continuadas "," 149330 "," -30980 "," -6474 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 149330 "," -30980 "," -6474 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 149330 "," -30980 "," -6474 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 24.26230 "," 5.03340 "," -1.05190 "
3.99.01.02," PN "," 26.68850 "," 5.53680 "," -1.15700 "
3.99.02," Lucro Diluído por Ação "," "," "," "
