" Conta "," Descrição ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 ","01/01/2018 a 31/12/2018 "
" 301 "," Receita de Venda de Bens e/ou Serviços "," 2208702 "," 834259 "," 647206 "
" 302 "," Custo dos Bens e/ou Serviços Vendidos "," -1.962.843 "," -686.132 "," -485.280 "
" 303 "," Resultado Bruto "," 245859 "," 148127 "," 161926 "
" 304 "," Despesas/Receitas Operacionais "," -40.403 "," -12.733 "," -752 "
" 30401 "," Despesas com Vendas "," "," "," "
" 30402 "," Despesas Gerais e Administrativas "," -74.942 "," -49.760 "," -32.569 "
" 30403 "," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
" 30404 "," Outras Receitas Operacionais "," 35206 "," 37304 "," 31994 "
" 30405 "," Outras Despesas Operacionais "," -667 "," -277 "," -177 "
" 3040501 "," Despesas tributárias "," -667 "," -277 "," -177 "
" 30406 "," Resultado de Equivalência Patrimonial "," "," "," "
" 305 "," Resultado Antes do Resultado Financeiro e dos Tributos "," 205456 "," 135394 "," 161174 "
" 306 "," Resultado Financeiro "," -85.365 "," -31.709 "," -28.317 "
" 30601 "," Receitas Financeiras "," 150097 "," 59522 "," 46286 "
" 30602 "," Despesas Financeiras "," -235.462 "," -91.231 "," -74.603 "
" 307 "," Resultado Antes dos Tributos sobre o Lucro "," 120091 "," 103685 "," 132857 "
" 308 "," Imposto de Renda e Contribuição Social sobre o Lucro "," -6.892 "," -14.943 "," -16.207 "
" 30801 "," Corrente "," -6.139 "," -14.943 "," -12.954 "
" 30802 "," Diferido "," -753 "," 0 "," -3.253 "
" 309 "," Resultado Líquido das Operações Continuadas "," 113199 "," 88742 "," 116650 "
" 310 "," Resultado Líquido de Operações Descontinuadas "," "," "," "
" 31001 "," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
" 31002 "," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
" 311 "," Lucro/Prejuízo Consolidado do Período "," 113199 "," 88742 "," 116650 "
" 31101 "," Atribuído a Sócios da Empresa Controladora "," 113199 "," 88742 "," 116650 "
" 31102 "," Atribuído a Sócios Não Controladores "," "," "," "
" 399 "," Lucro por Ação - (Reais / Ação) "," "," "," "
" 39901 "," Lucro Básico por Ação "," "," "," "
" 3990101 "," ON "," 0.14770 "," 0.14560 "," 0.19130 "
" 39902 "," Lucro Diluído por Ação "," "," "," "
" 3990201 "," ON "," 0.17810 "," 0.14560 "," 0.19130 "
