Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2588407 "," 2350771 "," 2871117 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1344075 "," -1267044 "," -1730499 "
3.03," Resultado Bruto "," 1244332 "," 1083727 "," 1140618 "
3.04," Despesas/Receitas Operacionais "," -724326 "," -567860 "," -582434 "
3.04.01," Despesas com Vendas "," -492369 "," -438427 "," -402266 "
3.04.02," Despesas Gerais e Administrativas "," -248827 "," -170173 "," -234646 "
3.04.02.01," Despesas Gerais e Administrativas "," -248827 "," -153370 "," -216015 "
3.04.02.02," Honorários da Diretoria e Conselho de Administração "," 0 "," -16803 "," -18631 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 116933 "," 141308 "," 233435 "
3.04.05," Outras Despesas Operacionais "," -100063 "," -100568 "," -178957 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 520006 "," 515867 "," 558184 "
3.06," Resultado Financeiro "," -313256 "," -225471 "," -101185 "
3.06.01," Receitas Financeiras "," 61317 "," 54204 "," 155923 "
3.06.02," Despesas Financeiras "," -374573 "," -279675 "," -257108 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 206750 "," 290396 "," 456999 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 22755 "," -88020 "," -154283 "
3.08.01," Corrente "," 1824 "," -80724 "," -118395 "
3.08.02," Diferido "," 20931 "," -7296 "," -35888 "
3.09," Resultado Líquido das Operações Continuadas "," 229505 "," 202376 "," 302716 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 229505 "," 202376 "," 302716 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," 202376 "," 302716 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.00000 "," 0.69000 "," 1.03000 "
3.99.01.02," PN "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.00000 "," 0.69000 "," 1.03000 "
3.99.02.02," PN "," "," "," "
