Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 834931 "," 649365 "," 1080684 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -628017 "," -484547 "," -761273 "
3.03," Resultado Bruto "," 206914 "," 164818 "," 319411 "
3.04," Despesas/Receitas Operacionais "," -239307 "," -156627 "," -182242 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -90689 "," -80241 "," -109401 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 1627 "," 47846 "," 10904 "
3.04.05," Outras Despesas Operacionais "," -146375 "," -121722 "," -79333 "
3.04.05.01," Amortização de intangíveis "," -146375 "," -121722 "," -79333 "
3.04.06," Resultado de Equivalência Patrimonial "," -3870 "," -2510 "," -4412 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -32393 "," 8191 "," 137169 "
3.06," Resultado Financeiro "," -189225 "," -177272 "," -175231 "
3.06.01," Receitas Financeiras "," 17572 "," 28520 "," 16779 "
3.06.02," Despesas Financeiras "," -206797 "," -205792 "," -192010 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -221618 "," -169081 "," -38062 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -2552 "," -1588 "," -4566 "
3.08.01," Corrente "," -2552 "," -1588 "," -4566 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -224170 "," -170669 "," -42628 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -224170 "," -170669 "," -42628 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -223357 "," -170960 "," -43540 "
3.11.02," Atribuído a Sócios Não Controladores "," -813 "," 291 "," 912 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.86410 "," -0.94310 "," -0.26990 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0.86410 "," -0.94310 "," -0.26990 "
