Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 3948561 "," 3143292 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1991914 "," -1531908 "
3.03," Resultado Bruto "," 1956647 "," 1611384 "
3.04," Despesas/Receitas Operacionais "," -1337437 "," -1315240 "
3.04.01," Despesas com Vendas "," -1110533 "," -942425 "
3.04.02," Despesas Gerais e Administrativas "," -168400 "," -120090 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 42133 "," 337109 "
3.04.05," Outras Despesas Operacionais "," -100637 "," -589834 "
3.04.05.01," Amortização do Intangível "," -24307 "," -19136 "
3.04.05.02," Outras Despesas Operacionais "," -76330 "," -570698 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 619210 "," 296144 "
3.06," Resultado Financeiro "," 95309 "," -68265 "
3.06.01," Receitas Financeiras "," 146425 "," 148638 "
3.06.01.01," Variação Cambial "," 92115 "," 96702 "
3.06.01.02," Ganhos em Operações com Derivativos "," 4685 "," 5835 "
3.06.01.03," Outras Receitas Financeiras "," 49625 "," 46101 "
3.06.02," Despesas Financeiras "," -51116 "," -216903 "
3.06.02.01," Variação Cambial "," -16150 "," -75147 "
3.06.02.02," Perdas em Operações com Derivativos "," -4579 "," -3100 "
3.06.02.03," Outras Despesas Financeiras "," -30387 "," -138656 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 714519 "," 227879 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -51909 "," 8929 "
3.08.01," Corrente "," 5964 "," -14433 "
3.08.02," Diferido "," -57873 "," 23362 "
3.09," Resultado Líquido das Operações Continuadas "," 662610 "," 236808 "
3.10," Resultado Líquido de Operações Descontinuadas "," 29953 "," -109922 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," 26376 "," -114548 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," 3577 "," 4626 "
3.10.02.01," Lucro/Prejuizo Liquido das Operações Descontinuadas Não Controladores "," 3577 "," 4626 "
3.11," Lucro/Prejuízo Consolidado do Período "," 692563 "," 126886 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 689608 "," 140195 "
3.11.02," Atribuído a Sócios Não Controladores "," 2955 "," -13309 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.02," Lucro Diluído por Ação "," "," "
