Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 5234208 "," 6140745 "," 4592099 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1399626 "," -2699555 "," -2125331 "
3.02.01," Energia Comprada para Revenda "," -146165 "," -141772 "," -231739 "
3.02.02," Encargos do Uso da Rede Elétrica - CUST "," -34599 "," -32795 "," -30397 "
3.02.03," Compensação Financeira pela Utilização de Recursos Hídricos - CFURH "," -9139 "," -8441 "," -10636 "
3.02.05," Custo dos Serviços Prestados "," -141887 "," -184446 "," -171036 "
3.02.06," Custo de Infraestrutura "," -933340 "," -2204273 "," -1575398 "
3.02.07," Depreciação e Amortização "," -134496 "," -127828 "," -106125 "
3.03," Resultado Bruto "," 3834582 "," 3441190 "," 2466768 "
3.04," Despesas/Receitas Operacionais "," -54570 "," -122636 "," -21995 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -133894 "," -120894 "," -130615 "
3.04.02.01," Outras Despesas Gerais e Administrativas "," -133894 "," -120894 "," -130615 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 85904 "," 7817 "," 51237 "
3.04.05," Outras Despesas Operacionais "," -11835 "," -335 "," -11 "
3.04.06," Resultado de Equivalência Patrimonial "," 5255 "," -9224 "," 57394 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 3780012 "," 3318554 "," 2444773 "
3.06," Resultado Financeiro "," -915545 "," -461739 "," -262506 "
3.06.01," Receitas Financeiras "," 107823 "," 51314 "," 87129 "
3.06.02," Despesas Financeiras "," -1023368 "," -513053 "," -349635 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 2864467 "," 2856815 "," 2182267 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -741651 "," -801310 "," -540870 "
3.08.01," Corrente "," -110751 "," -104121 "," -92207 "
3.08.02," Diferido "," -630900 "," -697189 "," -448663 "
3.09," Resultado Líquido das Operações Continuadas "," 2122816 "," 2055505 "," 1641397 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 2122816 "," 2055505 "," 1641397 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 1115401 "," 942088 "," 890284 "
3.11.02," Atribuído a Sócios Não Controladores "," 1007415 "," 1113417 "," 751113 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.26878 "," 1.07164 "," 1.01271 "
3.99.01.02," PN "," 1.26878 "," 1.07164 "," 1.01271 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.26878 "," 1.07164 "," 1.01271 "
3.99.02.02," PN "," 1.26878 "," 1.07164 "," 1.01271 "
