" Conta "," Descrição ","01/01/2018 a 31/12/2018 ","01/01/2017 a 31/12/2017 ","01/01/2016 a 31/12/2016 "
" 301 "," Receita de Venda de Bens e/ou Serviços "," 50231336 "," 47899276 "," 45602561 "
" 302 "," Custo dos Bens e/ou Serviços Vendidos "," -19.269.627 "," -18.041.778 "," -16.677.959 "
" 303 "," Resultado Bruto "," 30961709 "," 29857498 "," 28924602 "
" 304 "," Despesas/Receitas Operacionais "," -13.971.252 "," -13.433.800 "," -11.824.227 "
" 30401 "," Despesas com Vendas "," -12.465.997 "," -11.915.494 "," -12.010.512 "
" 3040101 "," Despesas Logísticas "," -6.736.474 "," -6.295.544 "," -6.085.538 "
" 3040102 "," Despesas Comerciais "," -5.729.523 "," -5.619.950 "," -5.924.974 "
" 30402 "," Despesas Gerais e Administrativas "," -2.367.221 "," -2.623.796 "," -2.166.097 "
" 30403 "," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
" 30404 "," Outras Receitas Operacionais "," 1427669 "," 1338947 "," 2747125 "
" 3040401 "," Recorrentes "," 1312537 "," 1338947 "," 1502040 "
" 3040402 "," Não Recorrentes "," 115132 "," 0 "," 1245085 "
" 30405 "," Outras Despesas Operacionais "," -566.743 "," -230.342 "," -389.758 "
" 3040501 "," Recorrentes "," -365.188 "," -121.640 "," -279.004 "
" 3040502 "," Não Recorrentes "," -201.555 "," -108.702 "," -110.754 "
" 30406 "," Resultado de Equivalência Patrimonial "," 1040 "," -3.115 "," -4.985 "
" 305 "," Resultado Antes do Resultado Financeiro e dos Tributos "," 16990457 "," 16423698 "," 17100375 "
" 306 "," Resultado Financeiro "," -3.823.436 "," -3.493.896 "," -3.702.005 "
" 30601 "," Receitas Financeiras "," 738815 "," 774398 "," 895947 "
" 30602 "," Despesas Financeiras "," -4.562.251 "," -4.268.294 "," -4.597.952 "
" 307 "," Resultado Antes dos Tributos sobre o Lucro "," 13167021 "," 12929802 "," 13398370 "
" 308 "," Imposto de Renda e Contribuição Social sobre o Lucro "," -1.789.594 "," -5.079.298 "," -314.973 "
" 30801 "," Corrente "," -1.833.480 "," -5.332.336 "," -413.907 "
" 30802 "," Diferido "," 43886 "," 253038 "," 98934 "
" 309 "," Resultado Líquido das Operações Continuadas "," 11377427 "," 7850504 "," 13083397 "
" 310 "," Resultado Líquido de Operações Descontinuadas "," "," "," "
" 31001 "," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
" 31002 "," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
" 311 "," Lucro/Prejuízo Consolidado do Período "," 11377427 "," 7850504 "," 13083397 "
" 31101 "," Atribuído a Sócios da Empresa Controladora "," 11024678 "," 7331968 "," 12546610 "
" 31102 "," Atribuído a Sócios Não Controladores "," 352749 "," 518536 "," 536787 "
" 399 "," Lucro por Ação - (Reais / Ação) "," "," "," "
" 39901 "," Lucro Básico por Ação "," "," "," "
" 3990101 "," ON "," 0.70000 "," 0.47000 "," 0.80000 "
" 39902 "," Lucro Diluído por Ação "," "," "," "
" 3990201 "," ON "," 0.70000 "," 0.46000 "," 0.79000 "
