Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1012595 "," 1732217 "," 1764723 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -68044 "," -309652 "," -925492 "
3.03," Resultado Bruto "," 944551 "," 1422565 "," 839231 "
3.04," Despesas/Receitas Operacionais "," -46736 "," -118324 "," -37744 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -34869 "," -117436 "," -37744 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -11867 "," -888 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 897815 "," 1304241 "," 801487 "
3.06," Resultado Financeiro "," -347606 "," -257831 "," -212723 "
3.06.01," Receitas Financeiras "," 30484 "," 7400 "," 19927 "
3.06.02," Despesas Financeiras "," -378090 "," -265231 "," -232650 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 550209 "," 1046410 "," 588764 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -197777 "," -405266 "," -129751 "
3.08.01," Corrente "," -6686 "," -14100 "," 0 "
3.08.02," Diferido "," -191091 "," -391166 "," -129751 "
3.09," Resultado Líquido das Operações Continuadas "," 352432 "," 641144 "," 459013 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 352432 "," 641144 "," 459013 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," 641144 "," 459013 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.97750 "," 1.77824 "," 0.86855 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.97750 "," 1.77824 "," 0.85266 "
