Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 242946 "," 220451 "," 238856 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -244.692 "," -240.168 "," -251.085 "
3.03," Resultado Bruto "," -1.746 "," -19.717 "," -12.229 "
3.04," Despesas/Receitas Operacionais "," -11.337 "," -11.903 "," -26.621 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -11.630 "," -12.352 "," -26.728 "
3.04.02.01," Gerais e Administrativas "," -11.630 "," -12.352 "," -25.375 "
3.04.02.02," Remuneração da Administração "," 0 "," 0 "," -1.353 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 293 "," 449 "," 107 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -13.083 "," -31.620 "," -38.850 "
3.06," Resultado Financeiro "," -56.092 "," -42.035 "," -45.036 "
3.06.01," Receitas Financeiras "," 1768 "," 2310 "," 1635 "
3.06.02," Despesas Financeiras "," -57.860 "," -44.345 "," -46.671 "
3.06.02.01," Despesas Financeiras "," -57.816 "," -44.256 "," -46.647 "
3.06.02.02," Variação Cambial Líquida "," -44 "," -89 "," -24 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -69.175 "," -73.655 "," -83.886 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 23316 "," 24953 "," 30304 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," 23316 "," 24953 "," 30304 "
3.09," Resultado Líquido das Operações Continuadas "," -45.859 "," -48.702 "," -53.582 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -45.859 "," -48.702 "," -53.582 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0,02660 "," -0,02830 "," -0,03210 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0,02660 "," -0,02830 "," -0,03210 "
