" Conta "," Descrição ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 ","01/01/2018 a 31/12/2018 "
" 301 "," Receita de Venda de Bens e/ou Serviços "," 9327395 "," 6576507 "," 5351875 "
" 30101 "," Segmento Listado "," 6441965 "," 4266356 "," 3196031 "
" 30102 "," Segmento Balcão "," 1047028 "," 991010 "," 970169 "
" 30103 "," Segmento Infraestrutura para Financiamento "," 425120 "," 566378 "," 501726 "
" 30104 "," Segmento Tecnologia, Dados e Serviços "," 1134224 "," 749439 "," 670721 "
" 30105 "," Reversão de Provisão "," 279058 "," 3324 "," 13228 "
" 302 "," Custo dos Bens e/ou Serviços Vendidos "," -944.820 "," -668.751 "," -519.960 "
" 30201 "," PIS e Cofins "," -791.833 "," -558.005 "," -431.908 "
" 30202 "," Impostos sobre Serviços "," -152.987 "," -110.746 "," -88.052 "
" 303 "," Resultado Bruto "," 8382575 "," 5907756 "," 4831915 "
" 304 "," Despesas/Receitas Operacionais "," -2.780.166 "," -2.675.615 "," -2.439.824 "
" 30401 "," Despesas com Vendas "," "," "," "
" 30402 "," Despesas Gerais e Administrativas "," -2.702.146 "," -2.678.765 "," -2.433.249 "
" 30403 "," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
" 30404 "," Outras Receitas Operacionais "," "," "," "
" 3040401 "," Descontinuidade do Uso do Método de Equivalência Patrimonial "," "," "," "
" 3040402 "," Resultado na Alienação de Investimentos em Coligadas "," "," "," "
" 30405 "," Outras Despesas Operacionais "," -80.385 "," 0 "," -8.722 "
" 3040501 "," Amortização de Ágio "," "," "," "
" 3040502 "," Redução ao Valor Recuperável de Ativos (Impairment) "," -80.385 "," 0 "," -8.722 "
" 30406 "," Resultado de Equivalência Patrimonial "," 2365 "," 3150 "," 2147 "
" 305 "," Resultado Antes do Resultado Financeiro e dos Tributos "," 5602409 "," 3232141 "," 2392091 "
" 306 "," Resultado Financeiro "," -86.559 "," 106905 "," -53.682 "
" 30601 "," Receitas Financeiras "," 373112 "," 552406 "," 487723 "
" 3060101 "," Receitas Financeiras "," 373112 "," 552406 "," 487723 "
" 3060102 "," Variações Cambiais Líquidas "," "," "," "
" 30602 "," Despesas Financeiras "," -459.671 "," -445.501 "," -541.405 "
" 3060201 "," Despesas Financeiras "," -302.485 "," -422.624 "," -456.990 "
" 3060202 "," Variações Cambiais Líquidas "," -157.186 "," -22.877 "," -84.415 "
" 307 "," Resultado Antes dos Tributos sobre o Lucro "," 5515850 "," 3339046 "," 2338409 "
" 308 "," Imposto de Renda e Contribuição Social sobre o Lucro "," -1.365.135 "," -625.842 "," -250.058 "
" 30801 "," Corrente "," -633.851 "," -193.543 "," 9684 "
" 30802 "," Diferido "," -731.284 "," -432.299 "," -259.742 "
" 309 "," Resultado Líquido das Operações Continuadas "," 4150715 "," 2713204 "," 2088351 "
" 310 "," Resultado Líquido de Operações Descontinuadas "," "," "," "
" 31001 "," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
" 31002 "," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
" 311 "," Lucro/Prejuízo Consolidado do Período "," 4150715 "," 2713204 "," 2088351 "
" 31101 "," Atribuído a Sócios da Empresa Controladora "," 4152304 "," 2714166 "," 2087444 "
" 31102 "," Atribuído a Sócios Não Controladores "," -1.589 "," -962 "," 907 "
" 399 "," Lucro por Ação - (Reais / Ação) "," "," "," "
" 39901 "," Lucro Básico por Ação "," "," "," "
" 3990101 "," ON "," 2.03262 "," 1.32625 "," 1.02168 "
" 39902 "," Lucro Diluído por Ação "," "," "," "
" 3990201 "," ON "," 2.02708 "," 1.32165 "," 1.01631 "
