Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receitas de Intermediação Financeira "," 1411897 "," 950361 "," 1506463 "
3.01.01," Operações de Crédito "," 721223 "," 438929 "," 423786 "
3.01.02," Resultado Operações Tít. Val. Mobiliários "," 681987 "," 492140 "," 1079307 "
3.01.03," Resultado com Instrum. Financeiros Derivativos "," "," "," "
3.01.04," Resultado de Operações de Câmbio "," 8687 "," 19292 "," 3370 "
3.02," Despesas de Intermediação Financeira "," -894.269 "," -589.818 "," -987.753 "
3.02.01," Operações de Captação no Mercado "," -183.615 "," -102.613 "," -205.407 "
3.02.02," Operações de Empréstimos e Repasses "," -528.723 "," -368.552 "," -525.939 "
3.02.03," Provisão para Perdas Esperadas Associadas ao Risco de Crédito "," -181.931 "," -118.653 "," -256.407 "
3.02.04," Resultado de Operações de Câmbio "," "," "," "
3.02.07," Provisão Operações de Crédito e Outros "," "," "," "
3.03," Resultado Bruto de Intermediação Financeira "," 517628 "," 360543 "," 518710 "
3.04," Outras Despesas e Receitas Operacionais "," 843540 "," 44695 "," -170.141 "
3.04.01," Despesa de Provisão para Perda Esperada para Risco de Crédito "," "," "," "
3.04.02," Receitas de Prestação de Serviços "," 888492 "," 819464 "," 825022 "
3.04.03," Despesas com Pessoal "," -585.373 "," -577.278 "," -562.564 "
3.04.04," Outras Despesas de Administrativas "," -295.304 "," -293.647 "," -289.122 "
3.04.05," Despesas Tributárias "," -139.467 "," -115.418 "," -111.703 "
3.04.06," Outras Receitas Operacionais "," 1564920 "," 942204 "," 850040 "
3.04.07," Outras Despesas Operacionais "," -589.728 "," -730.630 "," -881.814 "
3.04.08," Resultado da Equivalência Patrimonial "," "," "," "
3.05," Resultado antes dos Tributos sobre o Lucro "," 1361168 "," 405238 "," 348569 "
3.06," Imposto de Renda e Contribuição Social sobre o Lucro "," -573.074 "," -119.622 "," -47.621 "
3.06.01," Corrente "," -448.164 "," -155.687 "," -128.168 "
3.06.02," Diferido "," -124.910 "," 36065 "," 80547 "
3.07," Lucro ou Prejuízo das Operações Continuadas "," 788094 "," 285616 "," 300948 "
3.08," Resultado Líquido das Operações Descontinuadas "," "," "," "
3.09," Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias "," 788094 "," 285616 "," 300948 "
3.10," Participações nos Lucros e Contribuições Estatutárias "," -50.255 "," -20.048 "," -25.600 "
3.10.01," ParticipaçõeS "," -50.255 "," -20.048 "," -25.600 "
3.10.02," Contribuições "," "," "," "
3.11," Lucro ou Prejuízo Líquido do Período "," 737839 "," 265568 "," 275348 "
3.99," Lucro por Ação (R$/Ação) "," 24.88833 "," 8.95798 "," 9.28787 "
3.99.01," Lucro Básico por Ação "," 24.88833 "," 8.95798 "," 9.28787 "
3.99.02," Lucro Diluído por Ação "," "," "," "
