Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01.01," Receitas de juros e similares "," 5533335 "," 4406428 "," 3773720 "
3.01.02," Aplicações interfinanceiras de liquidez "," 121780 "," 164502 "," 188297 "
3.01.03," Títulos e valores mobiliários "," 52333 "," 4285 "," 41406 "
3.01.04," Derivativos "," 507205 "," 1229667 "," -195.242 "
3.01.05," Resultado na alienação de ativos financeiros "," -7.398 "," -456 "," 727 "
3.01.06," Resultado de operações de câmbio "," 169743 "," 141655 "," 218005 "
3.02," Despesas de Intermediação Financeira "," -2.333.166 "," -2.315.156 "," -1.110.213 "
3.02.01," Despesas de juros e similares "," -1.794.623 "," -975.304 "," -1.105.160 "
3.02.02," Passivos financeiros avaliados pelo seu valor justo "," -538.543 "," -1.339.852 "," -5.053 "
3.03," Resultado Bruto de Intermediação Financeira "," 4043832 "," 3630925 "," 2916700 "
3.04," Outras Despesas e Receitas Operacionais "," -1.478.202 "," -1.635.844 "," -1.469.720 "
3.04.01," Despesa de Provisão para Perda Esperada para Risco de Crédito "," -443.237 "," -683.867 "," -506.447 "
3.04.02," Receitas de Prestação de Serviços "," 165098 "," 136014 "," 99631 "
3.04.03," Despesas com Pessoal "," -605.348 "," -487.080 "," -418.593 "
3.04.04," Outras Despesas de Administrativas "," -423.942 "," -354.721 "," -310.630 "
3.04.05," Despesas Tributárias "," -241.139 "," -206.005 "," -183.560 "
3.04.06," Outras Receitas Operacionais "," 80809 "," 117766 "," 148693 "
3.04.07," Outras Despesas Operacionais "," -10.443 "," -157.951 "," -298.814 "
3.04.08," Resultado da Equivalência Patrimonial "," "," "," "
3.05," Resultado antes dos Tributos sobre o Lucro "," 2565630 "," 1995081 "," 1446980 "
3.06," Imposto de Renda e Contribuição Social sobre o Lucro "," -989.620 "," -692.640 "," -320.109 "
3.06.01," Corrente "," -886.605 "," -719.386 "," -618.962 "
3.06.02," Diferido "," -103.015 "," 26746 "," 298853 "
3.07," Lucro ou Prejuízo das Operações Continuadas "," 1576010 "," 1302441 "," 1126871 "
3.08," Resultado Líquido das Operações Descontinuadas "," "," "," "
3.09," Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias "," 1576010 "," 1302441 "," 1126871 "
3.10," Participações nos Lucros e Contribuições Estatutárias "," -166.238 "," -137.486 "," -100.575 "
3.11," Lucro ou Prejuízo Líquido Consolidado do Período "," 1409772 "," 1164955 "," 1026296 "
3.11.01," Atribuído aos Sócios da Empresa Controladora "," 1409746 "," 1164936 "," 1026274 "
3.11.02," Atribuído aos Sócios não Controladores "," 26 "," 19 "," 22 "
3.99," Lucro por Ação (R$/Ação) "," 2.99200 "," 2.50200 "," 2.17200 "
3.99.01," Lucro Básico por Ação "," 1.49600 "," 1.25100 "," 1.08600 "
3.99.01.01," ON "," 0.74800 "," 0.62550 "," 0.54280 "
3.99.01.02," PN "," 0.74800 "," 0.62550 "," 0.54280 "
3.99.02," Lucro Diluído por Ação "," 1.49600 "," 1.25100 "," 1.08600 "
3.99.02.01," ON "," 0.74800 "," 0.62550 "," 0.54280 "
3.99.02.02," PN "," 0.74800 "," 0.62550 "," 0.54280 "
