Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receitas da Intermediação Financeira "," 710872 "," 634048 "," 681886 "
3.01.01," Operações de Crédito "," 561177 "," 530748 "," 542894 "
3.01.02," Resultado de Títulos e Valores Mobiliários "," 135584 "," 65083 "," 125419 "
3.01.03," Aplicações Compulsórias "," 14111 "," 38217 "," 13573 "
3.02," Despesas da Intermediação Financeira "," -283756 "," -179688 "," -284053 "
3.02.01," Operações de Captação no Mercado "," -199902 "," -122961 "," -204802 "
3.02.02," Operações, Empréstimos, Cessões e Repasses "," -11944 "," -6216 "," -4376 "
3.02.03," Provisões para Operações de Crédito "," -71910 "," -50511 "," -74875 "
3.03," Resultado Bruto Intermediação Financeira "," 427116 "," 454360 "," 397833 "
3.04," Outras Despesas/Receitas Operacionais "," -283472 "," -384160 "," -280880 "
3.04.01," Receitas de Prestação de Serviços "," 129059 "," 132725 "," 134610 "
3.04.02," Despesas de Pessoal "," -178631 "," -233579 "," -179254 "
3.04.03," Outras Despesas Administrativas "," -202542 "," -175348 "," -174258 "
3.04.03.01," Despesa de Água, Energia e Gás "," -6121 "," -5224 "," -5802 "
3.04.03.02," Despesa de Aluguel "," -3340 "," -4210 "," -4184 "
3.04.03.03," Despesa de Comunicações "," -2460 "," -2870 "," -3760 "
3.04.03.04," Despesa de Manutenção e Conservação de Bens "," -8353 "," -7677 "," -7952 "
3.04.03.05," Despesa de Material "," -1193 "," -1035 "," -1762 "
3.04.03.06," Despesa de Processamento de Dados "," -25381 "," -22017 "," -25622 "
3.04.03.07," Despesa de Promoções e Relações Públicas "," -8414 "," -2827 "," -3532 "
3.04.03.08," Despesas de Propaganda e Publicidade "," -4884 "," -4664 "," -3598 "
3.04.03.09," Despesa de Publicações "," -831 "," -564 "," -725 "
3.04.03.10," Despesa de Seguros "," -4039 "," -3617 "," -3723 "
3.04.03.11," Despesa de Serviço Sistema Financeiro "," -14149 "," -6240 "," -5755 "
3.04.03.12," Despesa de Serviço de Terceiros "," -58162 "," -53507 "," -49740 "
3.04.03.13," Despesa de Serviço de Vigilância e Segurança "," -9312 "," -10410 "," -11080 "
3.04.03.14," Despesa de Serviço de Terceiro Especializado "," -23940 "," -14910 "," -15051 "
3.04.03.15," Despesa de Transporte "," -10599 "," -9761 "," -8573 "
3.04.03.16," Despesa de Condominio "," -806 "," -453 "," -1027 "
3.04.03.17," Despesa de Contribuição de Entidades Associadas "," -502 "," -258 "," -519 "
3.04.03.18," Despesa de Amortização "," -4005 "," -4658 "," -5251 "
3.04.03.19," Despesa de Depreciação "," -10002 "," -11655 "," -10754 "
3.04.03.20," Despesa Outras "," -6049 "," -8791 "," -5848 "
3.04.04," Despesas Tributárias "," -36995 "," -39147 "," -40111 "
3.04.05," Outras Receitas Operacionais "," 73889 "," 43884 "," 41527 "
3.04.05.01," Recuperação de Encargos e Despesas "," 3548 "," 1116 "," 752 "
3.04.05.02," Reversão de Provisão Operacionais "," 27597 "," 5700 "," 19184 "
3.04.05.03," Outras "," 37445 "," 28140 "," 9693 "
3.04.05.04," Rendas de Créditos Específicos "," 22 "," 5 "," 7 "
3.04.05.05," Resultado de Participação em Coligadas e Controladas "," 5277 "," 8923 "," 11891 "
3.04.06," Outras Despesas Operacionais "," -68252 "," -112695 "," -63394 "
3.04.06.01," Despesa de Contribuição ao SFH "," -498 "," -194 "," 0 "
3.04.06.02," Outras "," -35294 "," -44991 "," -30044 "
3.04.06.03," Despesa de Descontos Concedidos de Renegociação "," -4473 "," -4265 "," -126 "
3.04.06.04," Despesa de Provisões Passivas "," -27987 "," -63245 "," -33224 "
3.04.07," Resultado da Equivalência Patrimonial "," "," "," "
3.05," Resultado Operacional "," 143644 "," 70200 "," 116953 "
3.06," Resultado Não Operacional "," "," "," "
3.06.01," Receitas "," "," "," "
3.06.02," Despesas "," "," "," "
3.07," Resultado Antes Tributação/Participações "," 143644 "," 70200 "," 116953 "
3.08," Provisão para IR e Contribuição Social "," -47465 "," -13204 "," -20329 "
3.08.01," Provisão para Imposto de Renda "," -23588 "," -38404 "," -23461 "
3.08.02," Provisão para Contribuição Social "," -22839 "," -30939 "," -15067 "
3.08.03," Ativo Fiscal Diferido "," -1038 "," 56139 "," 18199 "
3.09," IR Diferido "," "," "," "
3.10," Participações/Contribuições Estatutárias "," -12440 "," -8093 "," -12589 "
3.10.01," Participações "," "," "," "
3.10.02," Contribuições "," "," "," "
3.11," Reversão dos Juros sobre Capital Próprio "," "," "," "
3.13," Lucro/Prejuízo do Período "," 83739 "," 48903 "," 84035 "
3.99," Lucro por Ação - (R$ / Ação) "," 5.47848 "," 3.19939 "," 5.47030 "
