Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receitas de Intermediação Financeira "," 7678349 "," 7382705 "," 8168237 "
3.01.01," Receitas com Juros e Similares "," 7402319 "," 6613329 "," 8063609 "
3.01.02," Receita de Dividendos "," 1146 "," 910 "," 1740 "
3.01.03," Ganhos (Perdas) Líquidos com Ativos e passivos Financeiros ao Valor Justo "," 296039 "," 695110 "," 67061 "
3.01.04," Resultado de Variação Cambial de Ativos e Passivos em Moeda Estrangeira "," -21155 "," 73356 "," 35827 "
3.02," Despesas de Intermediação Financeira "," -3599380 "," -2950914 "," -3533510 "
3.02.01," Despesas com Juros e Similares "," -3599380 "," -2950914 "," -3533510 "
3.03," Resultado Bruto de Intermediação Financeira "," 4078969 "," 4431791 "," 4634727 "
3.04," Outras Despesas e Receitas Operacionais "," -2601897 "," -3648169 "," -3312993 "
3.04.01," Despesa de Provisão para Perda Esperada para Risco de Crédito "," -88500 "," -1188949 "," -743868 "
3.04.01.01," (Perda) Esperada com Operações de Crédito e Arrendamento Mercantil Financeiro "," -91286 "," -1157176 "," -704830 "
3.04.01.02," (Perda)/Reversão Esperada com Demais Ativos Financeiros "," 2786 "," -31773 "," -39038 "
3.04.02," Receitas de Prestação de Serviços "," 1984967 "," 1981843 "," 2064591 "
3.04.03," Despesas com Pessoal "," -2032197 "," -2262590 "," -2116282 "
3.04.04," Outras Despesas de Administrativas "," -1493563 "," -1380716 "," -1536335 "
3.04.05," Despesas Tributárias "," -464418 "," -467925 "," -482688 "
3.04.06," Outras Receitas Operacionais "," 472839 "," 391357 "," 682133 "
3.04.07," Outras Despesas Operacionais "," -1023855 "," -776880 "," -1227141 "
3.04.08," Resultado da Equivalência Patrimonial "," 42830 "," 55691 "," 46597 "
3.05," Resultado antes dos Tributos sobre o Lucro "," 1477072 "," 783622 "," 1321734 "
3.06," Imposto de Renda e Contribuição Social sobre o Lucro "," -392607 "," -163758 "," -51787 "
3.06.01," Corrente "," -335698 "," -428592 "," -354863 "
3.06.02," Diferido "," -56909 "," 264834 "," 303076 "
3.07," Lucro ou Prejuízo das Operações Continuadas "," 1084465 "," 619864 "," 1269947 "
3.08," Resultado Líquido das Operações Descontinuadas "," "," "," "
3.09," Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias "," 1084465 "," 619864 "," 1269947 "
3.09.01," Atribuído a Sócios da Empresa Controladora "," 1084195 "," 619662 "," 1269426 "
3.09.02," Atribuído a Sócios Não Controladores "," 270 "," 202 "," 521 "
3.10," Participações nos Lucros e Contribuições Estatutárias "," "," "," "
3.11," Lucro ou Prejuízo Líquido Consolidado do Período "," 1084465 "," 619864 "," 1269947 "
3.11.01," Atribuído aos Sócios da Empresa Controladora "," 1084195 "," 619662 "," 1269426 "
3.11.02," Atribuído aos Sócios não Controladores "," 270 "," 202 "," 521 "
3.99," Lucro por Ação (R$/Ação) "," 0.00000 "," 1239344.00000 "," 2538852.00000 "
3.99.01," Lucro Básico por Ação "," 0.00000 "," 619672.00000 "," 1269426.00000 "
3.99.01.01," ON "," 2.65000 "," 1.51000 "," 3.10000 "
3.99.01.02," PNA "," 2.84000 "," 1.59000 "," 3.34000 "
3.99.01.03," PNB "," 2.65000 "," 1.51000 "," 3.10000 "
3.99.02," Lucro Diluído por Ação "," 0.00000 "," 619672.00000 "," 1269426.00000 "
3.99.02.01," ON "," 2.65000 "," 1.51000 "," 3.10000 "
3.99.02.02," PNA "," 2.84000 "," 1.59000 "," 3.34000 "
3.99.02.03," PNB "," 2.65000 "," 1.51000 "," 3.10000 "
