Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 113105 "," 64082 "," 117325 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -86.629 "," -56.012 "," -69.865 "
3.03," Resultado Bruto "," 26476 "," 8070 "," 47460 "
3.04," Despesas/Receitas Operacionais "," -39.082 "," -26.566 "," -19.966 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -31.789 "," -20.298 "," -13.344 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 0 "," 0 "," 505 "
3.04.05," Outras Despesas Operacionais "," -7.293 "," -6.268 "," -7.127 "
3.04.05.01," Despesas comerciais "," -6.853 "," -4.901 "," -7.127 "
3.04.05.02," Outras Despesas Operacionais "," -440 "," -1.367 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -12.606 "," -18.496 "," 27494 "
3.06," Resultado Financeiro "," -40.667 "," -25.832 "," -28.433 "
3.06.01," Receitas Financeiras "," 8755 "," 10577 "," 733 "
3.06.02," Despesas Financeiras "," -49.422 "," -36.409 "," -29.166 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -53.273 "," -44.328 "," -939 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 18050 "," 13489 "," 269 "
3.08.01," Corrente "," -1.758 "," -1.206 "," -4.459 "
3.08.02," Diferido "," 19808 "," 14695 "," 4728 "
3.09," Resultado Líquido das Operações Continuadas "," -35.223 "," -30.839 "," -670 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.01.01," Resultado atribuído a participantes emSociedade em contas de participação (SCPs) "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -35.223 "," -30.839 "," -670 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -36.375 "," -29.982 "," -2.032 "
3.11.02," Atribuído a Sócios Não Controladores "," 1152 "," -857 "," 1362 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0,52000 "," -0,47000 "," -0,03000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0,52000 "," -0,47000 "," -0,03000 "
