Conta," Descrição ","01/01/2018 a 31/12/2018 ","01/01/2017 a 31/12/2017 ","01/01/2016 a 31/12/2016 "
3.01," Receita de Venda de Bens e/ou Serviços "," 9539 "," 11568 "," 1502656 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -165 "," -416 "," -1041187 "
3.03," Resultado Bruto "," 9374 "," 11152 "," 461469 "
3.04," Despesas/Receitas Operacionais "," -38220 "," -277308 "," -959923 "
3.04.01," Despesas com Vendas "," -6539 "," -7933 "," -549610 "
3.04.02," Despesas Gerais e Administrativas "," -30082 "," -172390 "," -252338 "
3.04.02.01," Gerais e Administrativas "," -30082 "," -172390 "," -252338 "
3.04.02.02," Participação de funcionários e administradores "," "," "," "
3.04.02.03," Depreciação e Amortização "," "," "," "
3.04.02.04," Provisão para Redução ao Valor de Recuperação "," "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -1632 "," -29527 "," -180718 "
3.04.04," Outras Receitas Operacionais "," 33 "," -67458 "," 22743 "
3.04.04.01," Outras receitas Operacionais Líquidas "," 33 "," -67458 "," 22743 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.05.01," Perdas com Alienação de Investimentos "," "," "," "
3.04.05.02," Resultado de participações societárias em controladas "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -28846 "," -266156 "," -498454 "
3.06," Resultado Financeiro "," 1046669 "," -47747 "," -140298 "
3.06.01," Receitas Financeiras "," 1055443 "," 69939 "," 24538 "
3.06.02," Despesas Financeiras "," -8774 "," -117686 "," -164836 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1017823 "," -313903 "," -638752 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 7399 "," -389 "," 37103 "
3.08.01," Corrente "," 7399 "," -349 "," 0 "
3.08.02," Diferido "," 0 "," -40 "," 37103 "
3.09," Resultado Líquido das Operações Continuadas "," 1025222 "," -314292 "," -601649 "
3.10," Resultado Líquido de Operações Descontinuadas "," 23734 "," -1307383 "," -32692 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," 0 "," 0 "," -66737 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," 0 "," 0 "," 34045 "
3.11," Lucro/Prejuízo Consolidado do Período "," 1048956 "," -1621675 "," -634341 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 1048956 "," -1621675 "," -634341 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 9.27614 "," -14.34081 "," -6.05886 "
3.99.01.02," ON "," "," "," "
3.99.01.03," ON "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 9.27614 "," -14.34081 "," -6.05886 "
