Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 3454132 "," 2382216 "," 2263065 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -2268875 "," -1510175 "," -1497672 "
3.03," Resultado Bruto "," 1185257 "," 872041 "," 765393 "
3.04," Despesas/Receitas Operacionais "," -557321 "," -441672 "," -406499 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -557321 "," -445216 "," -432870 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 19474 "," -2299 "," 5330 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," -2645 "," 5843 "," 21041 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 627936 "," 430369 "," 358894 "
3.06," Resultado Financeiro "," -476152 "," -315951 "," -265233 "
3.06.01," Receitas Financeiras "," 100892 "," 67444 "," 66184 "
3.06.02," Despesas Financeiras "," -577044 "," -383395 "," -331417 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 151784 "," 114418 "," 93661 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -60464 "," -58935 "," -38938 "
3.08.01," Corrente "," -55945 "," -29463 "," -16387 "
3.08.02," Diferido "," -4519 "," -29472 "," -22551 "
3.09," Resultado Líquido das Operações Continuadas "," 91320 "," 55483 "," 54723 "
3.10," Resultado Líquido de Operações Descontinuadas "," 2017 "," -6507 "," 281782 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," 2017 "," -6334 "," 484059 "
3.10.01.01," Resultado das operações "," 2017 "," -6334 "," 54599 "
3.10.01.02," Ganho na alienação de investimento "," 0 "," 0 "," 429460 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," 0 "," -173 "," -202277 "
3.10.02.01," Perda no valor recuperável de ativo "," 0 "," 0 "," -24828 "
3.10.02.02," Imposto de renda e contribuição social correntes "," 0 "," 0 "," -155797 "
3.10.02.03," Imposto de renda e contribuição social diferidos "," 0 "," -173 "," -21652 "
3.11," Lucro/Prejuízo Consolidado do Período "," 93337 "," 48976 "," 336505 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 91147 "," 39641 "," 309561 "
3.11.02," Atribuído a Sócios Não Controladores "," 2190 "," 9335 "," 26944 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.06790 "," 0.06350 "," 0.22340 "
3.99.01.02," ON "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
