Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 114865 "," 90169 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -37.405 "," -31.682 "
3.03," Resultado Bruto "," 77460 "," 58487 "
3.04," Despesas/Receitas Operacionais "," -114.790 "," -66.746 "
3.04.01," Despesas com Vendas "," -36.024 "," -25.782 "
3.04.02," Despesas Gerais e Administrativas "," -36.995 "," -25.581 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -299 "," -1.112 "
3.04.04," Outras Receitas Operacionais "," 0 "," -1 "
3.04.05," Outras Despesas Operacionais "," -41.472 "," -14.256 "
3.04.05.01," Outras Despesas Operacionais "," -10.246 "," -3.785 "
3.04.05.02," Despesas com pesquisas e desenvolvimento "," -31.226 "," -10.471 "
3.04.06," Resultado de Equivalência Patrimonial "," 0 "," -14 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -37.330 "," -8.259 "
3.06," Resultado Financeiro "," 468 "," 1361 "
3.06.01," Receitas Financeiras "," 5822 "," 3672 "
3.06.02," Despesas Financeiras "," -5.354 "," -2.311 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -36.862 "," -6.898 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -14.640 "," 4097 "
3.08.01," Corrente "," -1.407 "," -1.386 "
3.08.02," Diferido "," -13.233 "," 5483 "
3.09," Resultado Líquido das Operações Continuadas "," -51.502 "," -2.801 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -51.502 "," -2.801 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -50.884 "," -2.730 "
3.11.02," Atribuído a Sócios Não Controladores "," -618 "," -71 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," -0,37000 "," -0,74000 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," -0,37000 "," -0,74000 "
