Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 266952 "," 100910 "," -12373 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -94837 "," -31512 "," -4234 "
3.03," Resultado Bruto "," 172115 "," 69398 "," -16607 "
3.04," Despesas/Receitas Operacionais "," -157243 "," -22594 "," -95255 "
3.04.01," Despesas com Vendas "," -2542 "," -1312 "," -1081 "
3.04.02," Despesas Gerais e Administrativas "," -58611 "," 3053 "," -82357 "
3.04.02.01," Despesas Gerais e Administrativas "," -58611 "," 3053 "," -82357 "
3.04.02.02," Participação dos Administradores "," "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," -35737 "," 22315 "," 12701 "
3.04.05," Outras Despesas Operacionais "," -60353 "," -46650 "," -24518 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 14872 "," 46804 "," -111862 "
3.06," Resultado Financeiro "," 146644 "," -26692 "," -8328 "
3.06.01," Receitas Financeiras "," 211581 "," 35055 "," 28010 "
3.06.02," Despesas Financeiras "," -64937 "," -61747 "," -36338 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 161516 "," 20112 "," -120190 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 13667 "," -13226 "," 19368 "
3.08.01," Corrente "," -39212 "," -265 "," -806 "
3.08.02," Diferido "," 52879 "," -12961 "," 20174 "
3.09," Resultado Líquido das Operações Continuadas "," 175183 "," 6886 "," -100822 "
3.10," Resultado Líquido de Operações Descontinuadas "," 14721 "," -5495 "," -2150 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," 14721 "," -5495 "," -2150 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 189904 "," 1391 "," -102972 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 189801 "," 1464 "," -102942 "
3.11.02," Atribuído a Sócios Não Controladores "," 103 "," -73 "," -30 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 17.55280 "," 0.13540 "," -9.52020 "
3.99.01.02," PNA "," 19.30810 "," 0.14900 "," -10.47220 "
3.99.01.03," PNB "," 639.65060 "," 4.93460 "," -336.46740 "
3.99.02," Lucro Diluído por Ação "," "," "," "
