Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 23984287 "," 18633249 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -19119637 "," -13347822 "
3.03," Resultado Bruto "," 4864650 "," 5285427 "
3.04," Despesas/Receitas Operacionais "," 581388 "," -1032161 "
3.04.01," Despesas com Vendas "," -194998 "," -159825 "
3.04.02," Despesas Gerais e Administrativas "," -924561 "," -809408 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 1680600 "," 24012 "
3.04.05," Outras Despesas Operacionais "," -345967 "," -280487 "
3.04.06," Resultado de Equivalência Patrimonial "," 366314 "," 193547 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 5446038 "," 4253266 "
3.06," Resultado Financeiro "," -327361 "," 866271 "
3.06.01," Receitas Financeiras "," 932049 "," 1839668 "
3.06.02," Despesas Financeiras "," -1259410 "," -973397 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 5118677 "," 5119537 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -1259632 "," -1285365 "
3.08.01," Corrente "," -469226 "," -1260469 "
3.08.02," Diferido "," -790406 "," -24896 "
3.09," Resultado Líquido das Operações Continuadas "," 3859045 "," 3834172 "
3.10," Resultado Líquido de Operações Descontinuadas "," 1189557 "," 75578 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," 1189557 "," 75578 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 5048602 "," 3909750 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 4952573 "," 3904202 "
3.11.02," Atribuído a Sócios Não Controladores "," 96029 "," 5548 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 1.61429 "," 1.36229 "
3.99.01.02," PNA "," 1.86252 "," 1.80062 "
3.99.01.03," PNB "," 1.95747 "," 1.49852 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 1.61429 "," 1.36229 "
3.99.02.02," PNA "," 1.86252 "," 1.80062 "
3.99.02.03," PNB "," 1.95747 "," 1.49852 "
