Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 600771 "," 473265 "," 461513 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -505888 "," -399663 "," -364944 "
3.03," Resultado Bruto "," 94883 "," 73602 "," 96569 "
3.04," Despesas/Receitas Operacionais "," -44909 "," -60066 "," -61907 "
3.04.01," Despesas com Vendas "," -42428 "," -37147 "," -37757 "
3.04.02," Despesas Gerais e Administrativas "," -20758 "," -20368 "," -21066 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.04.01," Recuperação de Impostos "," "," "," "
3.04.05," Outras Despesas Operacionais "," 18277 "," -2551 "," -3084 "
3.04.05.01," Honorários da Administração "," -3736 "," -3371 "," -3699 "
3.04.05.02," Outras, Líquidas "," 22013 "," 820 "," 615 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 49974 "," 13536 "," 34662 "
3.06," Resultado Financeiro "," -28631 "," -23252 "," -25276 "
3.06.01," Receitas Financeiras "," 15725 "," 10465 "," 8747 "
3.06.01.01," Receitas Financeiras "," 15725 "," 10465 "," 8191 "
3.06.01.02," Variações Cambiais, Líquidas "," 0 "," 0 "," 556 "
3.06.02," Despesas Financeiras "," -44356 "," -33717 "," -34023 "
3.06.02.01," Despesas Financeiras - Juros e Encargos "," -30170 "," -22293 "," -29037 "
3.06.02.02," Despesas Bancárias, Impostos, Descontos e Outros "," -14429 "," -8466 "," -4790 "
3.06.02.03," Variações Cambiais, Líquidas "," 307 "," -2837 "," 0 "
3.06.02.04," Despesas Financeiras - Juros sobre Arrendamentos "," -64 "," -121 "," -196 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 21343 "," -9716 "," 9386 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 5764 "," 5961 "," 1218 "
3.08.01," Corrente "," -10624 "," -59 "," 143 "
3.08.02," Diferido "," 16388 "," 6020 "," 1075 "
3.09," Resultado Líquido das Operações Continuadas "," 27107 "," -3755 "," 10604 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 27107 "," -3755 "," 10604 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," -3755 "," 10604 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.22850 "," -0.03170 "," 0.08940 "
3.99.01.02," PN "," 0.25140 "," -0.03480 "," 0.09830 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.22850 "," -0.03170 "," 0.08940 "
3.99.02.02," PN "," 0.25140 "," -0.03480 "," 0.09830 "
