Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 49850 "," 90570 "," 126960 "
3.01.01," Receita Atualização PPI - Selic "," 175 "," 280 "," 1500 "
3.01.02," Receita Atualização PEP "," 49675 "," 90290 "," 125460 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -9740 "," -34406 "," -65338 "
3.02.01," Juros Debêntures com Garantia Real - 1ª Emissão "," "," "," "
3.02.02," Juros Debêntures Subordinadas - 1ª Emissão "," "," "," "
3.02.03," Juros Debêntures Mezanino - 1ª Série da 2ª Emissão "," -3454 "," -6912 "," -13617 "
3.02.04," Juros Debêntures - 2ª Série da 2ª Emissão "," -1872 "," -20596 "," -38408 "
3.02.05," Juros Termo de Cessão do PEP "," "," "," "
3.02.06," Juros Debêntures com Garantia Real - 3ª Emissão "," 0 "," -465 "," -6901 "
3.02.07," PIS Não Cumulativo "," -780 "," -1146 "," -1138 "
3.02.08," COFINS Não Cumulativo "," -3634 "," -5287 "," -5274 "
3.03," Resultado Bruto "," 40110 "," 56164 "," 61622 "
3.04," Despesas/Receitas Operacionais "," -36809 "," -46822 "," -3768 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -4322 "," -4221 "," -3650 "
3.04.02.01," Despesas com Salários "," -2497 "," -2405 "," -1885 "
3.04.02.02," Encargos Sociais e Obrigações Trabalhistas "," -1057 "," -1050 "," -888 "
3.04.02.03," Serviços Técnicos Especializados "," -600 "," -621 "," -629 "
3.04.02.04," Anúncios e Publicações "," -161 "," -137 "," -158 "
3.04.02.05," Despesas Legais e Societárias "," -7 "," -8 "," -10 "
3.04.02.06," Doações "," 0 "," 0 "," -80 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -32336 "," -42482 "," 0 "
3.04.03.01," Perdas no Recebimento de Direitos Creditórios PPI "," -163 "," -12531 "," 0 "
3.04.03.02," Perdas no Recebimento de Direitos Creditórios PEP "," -32173 "," -29951 "," 0 "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -151 "," -119 "," -118 "
3.04.05.01," Despesas Gerais Administrativas "," -151 "," -119 "," -118 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 3301 "," 9342 "," 57854 "
3.06," Resultado Financeiro "," 3363 "," 1057 "," 3300 "
3.06.01," Receitas Financeiras "," 3397 "," 1099 "," 3390 "
3.06.02," Despesas Financeiras "," -34 "," -42 "," -90 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 6664 "," 10399 "," 61154 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -2105 "," -3870 "," -11615 "
3.08.01," Corrente "," -2829 "," -14086 "," -11313 "
3.08.02," Diferido "," 724 "," 10216 "," -302 "
3.09," Resultado Líquido das Operações Continuadas "," 4559 "," 6529 "," 49539 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 4559 "," 6529 "," 49539 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.10368 "," 1.65097 "," 13.52610 "
3.99.02," Lucro Diluído por Ação "," "," "," "
