Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 3125514 "," 1561295 "," 199559 "
3.01.01," Receitas de Operações de Crédito "," "," "," "
3.01.02," Receitas de Estruturação deOperações "," "," "," "
3.01.03," Receitas de Operações de Securitização "," 3446226 "," 1728581 "," 220342 "
3.01.04," (-)Impostos s/Vendas e Serviços "," -320712 "," -167286 "," -20783 "
3.01.05," (-)Devoluções "," "," "," "
3.02," Custo dos Bens e/ou Serviços Vendidos "," "," "," "
3.02.01," Custo de Operações de Securitização "," "," "," "
3.03," Resultado Bruto "," 3125514 "," 1561295 "," 199559 "
3.04," Despesas/Receitas Operacionais "," -2009071 "," -597435 "," -364337 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -2022651 "," -597435 "," -364337 "
3.04.02.01," Despesas Administrativas "," -983380 "," -321012 "," -275240 "
3.04.02.02," Despesas Tributárias "," -28305 "," -23988 "," -20413 "
3.04.02.03," Depreciações "," "," "," "
3.04.02.04," Despesas com pessoal "," -1010966 "," -252435 "," -68684 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 13580 "," 0 "," 0 "
3.04.04.01," Recuperação de despesas "," "," "," "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.05.01," Diversas "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1116443 "," 963860 "," -164778 "
3.06," Resultado Financeiro "," 390072 "," 57275 "," 232457 "
3.06.01," Receitas Financeiras "," 3621320 "," 70046 "," 249782 "
3.06.01.01," Outras Receitas Financeiras "," 3621320 "," 70046 "," 249782 "
3.06.02," Despesas Financeiras "," -3231248 "," -12771 "," -17325 "
3.06.02.01," Outras Despesas Financeiras "," -3231248 "," -12771 "," -17325 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1506515 "," 1021135 "," 67679 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -338970 "," -219207 "," -11370 "
3.08.01," Corrente "," -338970 "," -219207 "," -11370 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 1167545 "," 801928 "," 56309 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 1167545 "," 801928 "," 56309 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.42000 "," 0.98000 "," 0.07000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
