Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1634799 "," 1415298 "," 2212307 "
3.01.01," Receita Líquida de Serviços e Cessão de Espaço "," 1602775 "," 1375755 "," 2038270 "
3.01.02," Receita de Construção "," 32024 "," 39543 "," 174037 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1287368 "," -1375085 "," -1613903 "
3.02.01," Custo dos Serviços Prestados "," -1255344 "," -1335542 "," -1439866 "
3.02.02," Custo de Construção "," -32024 "," -39543 "," -174037 "
3.03," Resultado Bruto "," 347431 "," 40213 "," 598404 "
3.04," Despesas/Receitas Operacionais "," 633432 "," 529850 "," -117239 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -69072 "," -239290 "," -129185 "
3.04.02.01," Despesas Gerais e Administrativas "," -69072 "," -239290 "," -129185 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 702504 "," 769140 "," 11946 "
3.04.04.01," Outras Receitas Operacionais "," 702504 "," 769140 "," 11946 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 980863 "," 570063 "," 481165 "
3.06," Resultado Financeiro "," -2138517 "," -1284393 "," -1172929 "
3.06.01," Receitas Financeiras "," "," "," "
3.06.02," Despesas Financeiras "," -2138517 "," -1284393 "," -1172929 "
3.06.02.01," Resultado Financeiro Líquido "," -2138517 "," -1284393 "," -1172929 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -1157654 "," -714330 "," -691764 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 177779 "," 590300 "," -182689 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," 177779 "," 590300 "," -182689 "
3.09," Resultado Líquido das Operações Continuadas "," -979875 "," -124030 "," -874453 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -979875 "," -124030 "," -874453 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.32300 "," -0.04100 "," -0.28800 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0.32300 "," -0.04100 "," -0.28800 "
