Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 248954 "," 245240 "," 260735 "
3.01.01," Receita de Serviços "," 248817 "," 227358 "," 271598 "
3.01.02," Receita Extraordinária "," 1478 "," 1666 "," 1455 "
3.01.03," Receita de Construções "," 23269 "," 38999 "," 14747 "
3.01.04," Abatimentos "," -3240 "," -3252 "," -3772 "
3.01.05," PIS "," -1606 "," -1468 "," -1750 "
3.01.06," COFINS "," -7412 "," -6774 "," -8079 "
3.01.07," ISS "," -12352 "," -11289 "," -13464 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -108077 "," -162096 "," -126276 "
3.02.01," Custos dos Serviços "," -84808 "," -123097 "," -111529 "
3.02.02," Custos de Construções "," -23269 "," -38999 "," -14747 "
3.03," Resultado Bruto "," 140877 "," 83144 "," 134459 "
3.04," Despesas/Receitas Operacionais "," -27558 "," -24803 "," -26798 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -22925 "," -18733 "," -19958 "
3.04.02.01," Gerais e Administrativas "," -22925 "," -18733 "," -19958 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 2228 "," 14 "," 8 "
3.04.04.01," Outras Receitas Operacionais "," 2228 "," 14 "," 8 "
3.04.05," Outras Despesas Operacionais "," -6861 "," -6084 "," -6848 "
3.04.05.01," Depreciação "," -623 "," -816 "," -854 "
3.04.05.02," Depreciação de Arrendamento "," -2893 "," -3205 "," -3779 "
3.04.05.03," Outros "," -115 "," -11 "," -92 "
3.04.05.04," Participação nos Lucros e Resultados - Empregados "," -3230 "," -2052 "," -2123 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 113319 "," 58341 "," 107661 "
3.06," Resultado Financeiro "," -21233 "," -18578 "," -34970 "
3.06.01," Receitas Financeiras "," 17523 "," 2693 "," 2828 "
3.06.01.01," Receitas Financeiras "," 17523 "," 2693 "," 2828 "
3.06.02," Despesas Financeiras "," -38756 "," -21271 "," -37798 "
3.06.02.01," Despesas Financeiras "," -566 "," -6081 "," -3918 "
3.06.02.02," Despesa Financeira de Arrendamento "," -182 "," -19 "," -193 "
3.06.02.03," Remuneração Debenturistas "," -38008 "," -15171 "," -33687 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 92086 "," 39763 "," 72691 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -30109 "," -15024 "," -24283 "
3.08.01," Corrente "," -26747 "," -16533 "," -26592 "
3.08.02," Diferido "," -3362 "," 1509 "," 2309 "
3.09," Resultado Líquido das Operações Continuadas "," 61977 "," 24739 "," 48408 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 61977 "," 24739 "," 48408 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," PN "," 755.55637 "," 301.58144 "," 590.11902 "
3.99.01.02," ON "," 686.84531 "," 274.16495 "," 536.47184 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," PN "," 628.95058 "," 251.04687 "," 510.31735 "
3.99.02.02," ON "," 571.74311 "," 228.22443 "," 463.92486 "
