Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 337538 "," 275703 "," 348359 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -306988 "," -232266 "," -276541 "
3.03," Resultado Bruto "," 30550 "," 43437 "," 71818 "
3.04," Despesas/Receitas Operacionais "," -84651 "," -73001 "," -114640 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -16926 "," -16798 "," -15044 "
3.04.02.01," Despesas Gerais e Administrativas "," -14945 "," -14894 "," -13627 "
3.04.02.02," Honorários da Administração "," -1981 "," -1904 "," -1417 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -67725 "," -56203 "," -99596 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -54101 "," -29564 "," -42822 "
3.06," Resultado Financeiro "," -332815 "," -209877 "," -184105 "
3.06.01," Receitas Financeiras "," 17944 "," 5655 "," 8586 "
3.06.02," Despesas Financeiras "," -350759 "," -215532 "," -192691 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -386916 "," -239441 "," -226927 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 131442 "," 81189 "," 76821 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," 131442 "," 81189 "," 76821 "
3.09," Resultado Líquido das Operações Continuadas "," -255474 "," -158252 "," -150106 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -255474 "," -158252 "," -150106 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.00842 "," -0.00521 "," -0.00495 "
3.99.02," Lucro Diluído por Ação "," "," "," "
