Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2539954 "," 2282369 "," 1950098 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -2088664 "," -1572011 "," -1302023 "
3.03," Resultado Bruto "," 451290 "," 710358 "," 648075 "
3.04," Despesas/Receitas Operacionais "," -541720 "," -445710 "," -357344 "
3.04.01," Despesas com Vendas "," -245808 "," -200588 "," -162525 "
3.04.02," Despesas Gerais e Administrativas "," -188112 "," -154424 "," -117117 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -100999 "," -90218 "," -80941 "
3.04.05.01," Depreciação e amortização "," -32988 "," -22454 "," -20460 "
3.04.05.02," Demais despesas operacionais "," -68011 "," -67764 "," -60481 "
3.04.06," Resultado de Equivalência Patrimonial "," -6801 "," -480 "," 3239 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -90430 "," 264648 "," 290731 "
3.06," Resultado Financeiro "," -60111 "," -23071 "," 8802 "
3.06.01," Receitas Financeiras "," 37642 "," 32567 "," 61241 "
3.06.02," Despesas Financeiras "," -97753 "," -55638 "," -52439 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -150541 "," 241577 "," 299533 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -46048 "," -41857 "," -35120 "
3.08.01," Corrente "," -44229 "," -37244 "," -31265 "
3.08.02," Diferido "," -1819 "," -4613 "," -3855 "
3.09," Resultado Líquido das Operações Continuadas "," -196589 "," 199720 "," 264413 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -196589 "," 199720 "," 264413 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -191477 "," 200317 "," 263544 "
3.11.02," Atribuído a Sócios Não Controladores "," -5112 "," -597 "," 869 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -1.98920 "," 2.05490 "," 2.72780 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -1.85400 "," 1.89880 "," 2.50980 "
