Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 825866 "," 624839 "," 1709456 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," 0 "," -107462 "," -139601 "
3.03," Resultado Bruto "," 825866 "," 517377 "," 1569855 "
3.04," Despesas/Receitas Operacionais "," -1269508 "," -1920612 "," -1293353 "
3.04.01," Despesas com Vendas "," -161599 "," -135137 "," -291630 "
3.04.02," Despesas Gerais e Administrativas "," -1009544 "," -925223 "," -825710 "
3.04.02.01," Despesas Gerais e Administrativa "," -800956 "," -712580 "," -673854 "
3.04.02.02," Depreciação e amortização "," -208588 "," -212643 "," -151856 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," 1835 "," -91632 "," -47807 "
3.04.03.01," Perda estimada por valor recuperável "," 1835 "," -91632 "," -47807 "
3.04.04," Outras Receitas Operacionais "," 91486 "," 0 "," 0 "
3.04.04.01," Depreciação e Amortização "," "," "," "
3.04.05," Outras Despesas Operacionais "," -191686 "," -768620 "," -128206 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -443642 "," -1403235 "," 276502 "
3.06," Resultado Financeiro "," -101662 "," -135189 "," -214918 "
3.06.01," Receitas Financeiras "," "," "," "
3.06.02," Despesas Financeiras "," -101662 "," -135189 "," -214918 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -545304 "," -1538424 "," 61584 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 58662 "," 311688 "," -63449 "
3.08.01," Corrente "," 564 "," 3495 "," -87894 "
3.08.02," Diferido "," 58098 "," 308193 "," 24445 "
3.09," Resultado Líquido das Operações Continuadas "," 0 "," -1226736 "," -1865 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -486642 "," -1226736 "," -1865 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -476343 "," -1196627 "," -3904 "
3.11.02," Atribuído a Sócios Não Controladores "," -10299 "," -30109 "," 2039 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -2.30654 "," -7.46000 "," -0.03000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -2.22645 "," -6.21000 "," -0.03000 "
