Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 123488 "," 111006 "," 127215 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -13166 "," -11435 "," -8140 "
3.03," Resultado Bruto "," 110322 "," 99571 "," 119075 "
3.04," Despesas/Receitas Operacionais "," -183677 "," -116055 "," -127840 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -123851 "," -79465 "," -84042 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -59826 "," -36590 "," -43798 "
3.04.05.01," Despesas comerciais "," -58274 "," -36652 "," -39926 "
3.04.05.02," Outras receitas e despesas operacionais "," -1552 "," 62 "," -3872 "
3.04.05.03," Outras despesas operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -73355 "," -16484 "," -8765 "
3.06," Resultado Financeiro "," -7524 "," -46073 "," -9636 "
3.06.01," Receitas Financeiras "," 17895 "," 3620 "," 2845 "
3.06.02," Despesas Financeiras "," -25419 "," -49693 "," -12481 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -80879 "," -62557 "," -18401 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -1373 "," -1680 "," -173 "
3.08.01," Corrente "," -1373 "," -1680 "," -173 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -82252 "," -64237 "," -18574 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.01.01," Imposto de renda e contribuição social corrente "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -82252 "," -64237 "," -18574 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -82252 "," -63414 "," -17902 "
3.11.02," Atribuído a Sócios Não Controladores "," 0 "," -823 "," -672 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.62000 "," -46.13000 "," -13.29000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.00000 "," 0.00000 "," -13.13000 "
