Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 5245884 "," 3804732 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -4278919 "," -3119637 "
3.02.01," Custo com energia elétrica "," -3283052 "," -2344455 "
3.02.02," Custo de operação "," -416179 "," -390190 "
3.02.03," Custo do serviço prestado a terceiros "," -579688 "," -384992 "
3.03," Resultado Bruto "," 966965 "," 685095 "
3.04," Despesas/Receitas Operacionais "," -234903 "," -264125 "
3.04.01," Despesas com Vendas "," -60891 "," -59968 "
3.04.02," Despesas Gerais e Administrativas "," -121382 "," -125068 "
3.04.02.01," Despesas Gerais e Administrativas "," -121382 "," -125068 "
3.04.02.02," Depreciações e Amortizações "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," -52630 "," -79089 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 732062 "," 420970 "
3.06," Resultado Financeiro "," -138824 "," -50806 "
3.06.01," Receitas Financeiras "," 126283 "," 141378 "
3.06.02," Despesas Financeiras "," -265107 "," -192184 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 593238 "," 370164 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -148830 "," -87907 "
3.08.01," Corrente "," -82463 "," -99874 "
3.08.02," Diferido "," -66367 "," 11967 "
3.09," Resultado Líquido das Operações Continuadas "," 444408 "," 282257 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 444408 "," 282257 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," 75.63104 "," 0.00000 "
3.99.01.01," ON "," 75.63104 "," 48.03557 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 75.63104 "," 48.03557 "
