Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 6054774 "," 4426139 "," 4270699 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1980030 "," -1872732 "," -1852813 "
3.03," Resultado Bruto "," 4074744 "," 2553407 "," 2417886 "
3.04," Despesas/Receitas Operacionais "," -1911917 "," -800615 "," -809694 "
3.04.01," Despesas com Vendas "," -752646 "," -666500 "," -527656 "
3.04.02," Despesas Gerais e Administrativas "," -229875 "," -234230 "," -186479 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 219045 "," 166199 "," -95559 "
3.04.04.01," Outras Receitas Operacionais "," 40530 "," 6296 "," -14048 "
3.04.04.02," Valor Justo do Ativo Biológico "," 173782 "," 187006 "," -81663 "
3.04.04.03," Provisão para Crédito de Liquidação Duvidosa "," 4733 "," -27103 "," 152 "
3.04.05," Outras Despesas Operacionais "," -1148441 "," -66084 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 2162827 "," 1752792 "," 1608192 "
3.06," Resultado Financeiro "," -1005586 "," -2046245 "," -1115473 "
3.06.01," Receitas Financeiras "," 18015 "," 14390 "," 0 "
3.06.01.01," Receitas financeiras "," 17861 "," 14390 "," 0 "
3.06.01.02," Instrumentos financeiros derivativos "," 154 "," 0 "," 0 "
3.06.02," Despesas Financeiras "," -1023601 "," -2060635 "," -1115473 "
3.06.02.01," Despesas Financeiras "," -553828 "," -598400 "," -977160 "
3.06.02.02," Variação Cambial, Líquida "," -469773 "," -1462235 "," -138313 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1157241 "," -293453 "," 492719 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -277479 "," 185042 "," -5793 "
3.08.01," Corrente "," -45951 "," -50254 "," -19242 "
3.08.02," Diferido "," -231528 "," 235296 "," 13449 "
3.09," Resultado Líquido das Operações Continuadas "," 879762 "," -108411 "," 486926 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 879762 "," -108411 "," 486926 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," "," "," "
3.11.02," Atribuído a Sócios Não Controladores "," 0 "," -108411 "," 541321 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.57000 "," 0.07000 "," 0.35000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
