Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 8505000 "," 6833000 "
3.01.01," Receita Bruta "," 12274000 "," 10158000 "
3.01.02," (-) Deduções da Receita Bruta "," -3769000 "," -3325000 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -6765000 "," -5506000 "
3.02.01," Custos com Energia Elétrica "," -5397000 "," -4238000 "
3.02.02," Custos de Construção "," -699000 "," -676000 "
3.02.03," Custos de Operação "," -669000 "," -592000 "
3.03," Resultado Bruto "," 1740000 "," 1327000 "
3.04," Despesas/Receitas Operacionais "," -339000 "," -377000 "
3.04.01," Despesas com Vendas "," -52000 "," -45000 "
3.04.02," Despesas Gerais e Administrativas "," -197000 "," -196000 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," -90000 "," -136000 "
3.04.05.01," Perdas de Créditos Esperadas "," -90000 "," -136000 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1401000 "," 950000 "
3.06," Resultado Financeiro "," -244000 "," -123000 "
3.06.01," Receitas Financeiras "," 162000 "," 149000 "
3.06.01.01," Receitas Financeiras "," 156000 "," 119000 "
3.06.01.02," Outros Resultados Financeiros, Líquidos "," 6000 "," 30000 "
3.06.02," Despesas Financeiras "," -406000 "," -272000 "
3.06.02.01," Despesas Financeiras "," -406000 "," -272000 "
3.06.02.02," Outros Resultados Financeiros, Líquidos "," "," "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1157000 "," 827000 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -335000 "," -235000 "
3.08.01," Corrente "," -187000 "," -176000 "
3.08.02," Diferido "," -148000 "," -59000 "
3.09," Resultado Líquido das Operações Continuadas "," 822000 "," 592000 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 822000 "," 592000 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 4.03000 "," 2.90000 "
3.99.01.02," PNA "," 4.44000 "," 3.19000 "
3.99.01.03," PNB "," "," "
3.99.02," Lucro Diluído por Ação "," "," "
